Image ID,Sequence,Category,Script Page,Archive,Caption,Source URL,Keywords,Downloaded,In Lightroom,Metadata Attached
pho007141,1,Uncategorized,"P.4-5, P.51-54",UNLV Special Collections,"Photograph of McWilliamstown, circa 1904 -- in what would become Las Vegas [Stewart (Helen J.) Photographs]",https://special.library.unlv.edu/ark:/62930/d1s756k2c,,true,true,true
MC38R7,2,People & Crowds,P.7-9,Alamy,"Railroad workers - Northern Pacific pose outside railroad car housing, ca. 1910",https://www.alamy.com/workers-for-the-northern-pacific-pose-outside-of-their-railroad-car-housing-ca-1910-image179552331.html,Workers; Railroad Workers; Railroads; Railroad Car,true,true,
snv002500,3,People & Crowds,P.7,UNLV Special Collections,"First train arrives from LA in Las Vegas, crowd of people",https://special.library.unlv.edu/ark%3A/62930/d1fn1165b,"People; Crowds; Trains; Las Vegas, NV; Los Angeles, CA",true,true,
39222001684088,4,People & Crowds,P.7-11,Utah Historical Society,"Interior ticket counter with people, SLC, 1906",https://collections.lib.utah.edu/ark:/87278/s6d79r8r,People; Ticket Counter; Building Interior,,true,
39222001686224,5,People & Crowds,P.7-11,Utah Historical Society,"Women with parasols sticking out of train window, 1909",https://collections.lib.utah.edu/ark:/87278/s6hh6zvd,"Crowd at the Saltair Depot, June 29, 1909.",,true,
17638,6,People & Crowds,P.7-11,Utah Historical Society,"Men and little boy posed by train, 1908",https://collections.lib.utah.edu/ark:/87278/s6v99qw4,Men; Trains,true,true,true
39222001650899,7,Trains & Railroads — General,P.7-11,Utah Historical Society,"SP LA SL train and men, exterior station, SLC, 1910",https://collections.lib.utah.edu/ark:/87278/s6cv4s68,"At the Union Pacific Depot in Salt Lake City, August, 1910. Man on the right, Frank Dearman. Gift of: Robert W. Edwards.",,true,
22256,8,Trains & Railroads — General,P.7-11,Utah Historical Society,"SLC, LA Limited train, 1905",https://collections.lib.utah.edu/ark:/87278/s6x63wd7,"Union Pacific Railroad 22256 Los Angeles Limited. Awaiting for arrival, Dec. 19, 1905. Shipler Photograph #2004",true,true,true
22257,9,Trains & Railroads — General,P.7-11,Utah Historical Society,"SLC, LA Limited train, 1905 (more steam)",https://collections.lib.utah.edu/ark:/87278/s6sf34nf,"Trains; Los Angeles, CA; Steam / Smoke",true,true,true
29430,10,Trains & Railroads — General,P.7-11,Utah Historical Society,"Man sleeping in train car, 1913",https://collections.lib.utah.edu/ark:/87278/s6f19723,,true,true,true
39222001650972 / 206SPLASLUtahTicketOffice10,11,Trains & Railroads — Stations & Travel,P.7-11,Utah Historical Society,"SP LA SL RR ticket office exterior, Utah",https://collections.lib.utah.edu/ark:/87278/s6bv7r2w,"San Pedro, Los Angeles and 
Salt Lake Railroad window.",,,
39222001684096,12,Trains & Railroads — Stations & Travel,P.7-11,Utah Historical Society,"Interior ticket counter with people, SLC, 1908",https://collections.lib.utah.edu/ark:/87278/s68g90jd,People; Ticket Counter; Building Interior; Denver & Rio Grande; ticket counter,,true,
pho004752,13,People & Crowds,P.9-17 (loose),UNLV Special Collections,"Squires family at his mine, Mt. Charleston, 1912",https://special.library.unlv.edu/ark%3A/62930/d1qr4nq4p,,true,true,true
pho006190,14,People & Crowds,P.9-11,UNLV Special Collections,Delphine Squires with daughters (1900 to 1905),https://special.library.unlv.edu/ark:/62930/d1ns0kx6q,"Children; Charles “Pop” Squires; Delphine Squires; Los Angeles, CA; Squires; delphine square; family; children; farm",true,true,
CHS-2136,15,Trains & Railroads — General,P.9-11,USC Digital Library,"La Grande Depot, Los Angeles",https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZSBF6HLA&PN=1&DocRID=2A3BF1LXBZH,"Railroad Depot; Los Angeles, CA",true,true,true
16322,16,Trains & Railroads — General,P.9-11,Utah Historical Society,Rio Grande Western Railroad P.29,https://collections.lib.utah.edu/ark:/87278/s6jm3tfk,"Castle Gate, Utah",true,true,true
