image_id,Archive,Caption,Description,Source URL,Keywords,Script Page,Downloaded,In Lightroom,Metadata Attached
hln000161,UNLV Special Collections,"The meadow, Las Vegas Ranch, circa 1905","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1cf9n60q,"Open Land; Landscape; Ranch; Desert; Trees; Las Vegas, NV",P.33,true,,true
map000051,UNLV Special Collections,"Map of Las Vegas Rancho, Lincoln County, Nevada, September 15, 1904","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",http://n2t.net/ark:/62930/d1sn01k31,"Railroad Maps & Plans; Land Sale; Open Land; Ranch; Las Vegas, NV; Townsite",P.33,true,,true
pan.6a07603,Library of Congress,"Alfalfa fields, Las Vegas, Nev. (panoramic photograph), circa 1910","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://hdl.loc.gov/loc.pnp/pan.6a07603,"Panorama; Open Land; Landscape; Desert; Mountains; Las Vegas, NV; Harvest",P.33,true,,true
pho004882,UNLV Special Collections,"Tents on the Las Vegas Creek, Old Ranch, Nevada, circa 1905","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1fn10r91,"Tents; Open Land; Landscape; Las Vegas Creek, NV; Desert; Trees; Las Vegas, NV",P.33,true,,true
pho013100,UNLV Special Collections,"Railroad surveyors break camp, Nevada, circa 1903-1904","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1v97zt2p,Surveyors; Survey Camp; Railroad Survey; Tents; Men; Desert; Workers,P.33,true,,true
pho017606,UNLV Special Collections,"Las Vegas Townsite auction, May 15, 1905","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d13775z6c,"Townsite Auction; Land Sale; Townsite; Crowds; Men; Las Vegas, NV; Tents",P.33,true,,true
snv000841,UNLV Special Collections,"Crowd at the Clark Townsite sale, Las Vegas, Nevada, May 15, 1905","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d10c4t01k,"Townsite Auction; Land Sale; Townsite; Crowds; Men; Las Vegas, NV",P.33,true,,true
snv000899,UNLV Special Collections,"Railroad surveyors camp, 1903","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1125qq2t,Surveyors; Survey Camp; Railroad Survey; Tents; Men; Desert; Landscape,P.33,true,,true
snv000919,UNLV Special Collections,"Survey party with instruments, San Pedro, Nevada, 1903","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1js9hn78,Surveyors; Surveying Instruments; Railroad Survey; Men; Desert; Landscape; Workers,P.33,true,,true
snv001147,UNLV Special Collections,"Man setting up a tent in a railroad survey camp, Eldorado Canyon, Nevada, March 1907","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d17h1f19r,"Surveyors; Survey Camp; Railroad Survey; Tents; Men; Eldorado Canyon, NV; Desert",P.33,true,,true
snv001550,UNLV Special Collections,"Railroad survey party at their camp, Las Vegas, Nevada, February 1902","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1zp3wf05,"Surveyors; Survey Camp; Railroad Survey; Tents; Men; Desert; Las Vegas, NV",P.33,true,,true
snv001551,UNLV Special Collections,"Man in a survey camp with a tent and stove, Las Vegas, Nevada, 1902","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1tx35m59,"Surveyors; Survey Camp; Railroad Survey; Tents; Men; Desert; Las Vegas, NV",P.33,true,,true
snv001573,UNLV Special Collections,"Man outside a tent in the surveyors' camp, Las Vegas, Nevada, 1902","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d19z90s3g,"Surveyors; Survey Camp; Railroad Survey; Tents; Men; Desert; Las Vegas, NV",P.33,true,,true
snv001862,UNLV Special Collections,"Surveyor and instruments, Las Vegas, Nevada, 1900-1925","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1wp9tm83,"Surveyors; Surveying Instruments; Railroad Survey; Desert; Landscape; Las Vegas, NV; Men",P.33,true,,true
snv001879,UNLV Special Collections,"Surveyor and instruments on a hillside, Las Vegas, Nevada, 1900-1925","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1gh9bq29,"Surveyors; Surveying Instruments; Railroad Survey; Landscape; Desert; Mountains; Las Vegas, NV",P.33,true,,true
snv001889,UNLV Special Collections,"Tents in the desert, Las Vegas, Nevada, 1900-1925","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d19s1m05t,"Tents; Desert; Open Land; Landscape; Las Vegas, NV; Men",P.33,true,,true
snv001893,UNLV Special Collections,"Survey team standing outside a tent, Las Vegas, Nevada, 1900-1925","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/ark:/62930/d1st7fb37,"Surveyors; Survey Camp; Railroad Survey; Tents; Men; Desert; Las Vegas, NV",P.33,true,,true
snv002412,UNLV Special Collections,"Clark's Las Vegas Townsite map and sale information, May 10, 1905 (front)","Sourced for the Peter Buol / open-land beat, script P.33 -- land as a commodity before the 1905 townsite auction.",https://special.library.unlv.edu/node/293170,"Townsite Auction; Land Sale; Townsite; Railroad Maps & Plans; Las Vegas, NV",P.33,true,,true
