catalog_id,archive,previous_caption,archive_caption
16322,Utah Historical Society,Rio Grande Western Railroad P.29,"Castle Gate, Utah"
17638,Utah Historical Society,"Men and little boy posed by train, 1908",Bingham & Garfield Railroad / Bingham and Garfield Railroad.
18498,Utah Historical Society,Wagons -- Freighting P.32,Wagons -- Freighting.
21339,Utah Historical Society,"RR shops construction, 1905, foundation/workers/tracks, Idaho","Pocatello, Ida., steel car shop under construction, 1905."
22256,Utah Historical Society,"SLC, LA Limited train, 1905",Union Pacific Railroad 22256 Los Angeles Limited.
22257,Utah Historical Society,"SLC, LA Limited train, 1905 (more steam)",Union Pacific Railroad Los Angeles Limited 22257.
22582,Utah Historical Society,"TRAIN - Crowds of people, some dressed up, 5/1/1905","First San Pedro, Los Angeles and Salt Lake train for Los Angeles, May 1, 1905."
22583,Utah Historical Society,"Crowds of people, some dressed up, 5/1/1905","First San Pedro, Los Angeles and Salt Lake train for Los Angeles, May 1, 1905."
22584,Utah Historical Society,Empty dining car,"San Pedro, Los Angeles and Salt Lake train (1st to L.A.) dining car, May 1, 1905."
22585,Utah Historical Society,"RR dining car interior, people dressed up, 1905-6 (Peter Buol as cook)","San Pedro, Los Angeles and Salt Lake dining car, June, 1905."
22586,Utah Historical Society,SP LA SL Railroad cooks pose outside rail car,"San Pedro, Los Angeles and Salt Lake dining car with waiters, May, 1905."
22587,Utah Historical Society,Saltair Depot P.3,"Crowd at the Saltair Depot, June 29, 1909."
23302,Utah Historical Society,"Denver & Rio Grande Western Railroad Station, SLC P.54",Denver & Rio Grande Western RR ticket office.
23501,Utah Historical Society,"Denver & Rio Grande Western Railroad Station, SLC P.53",(11x14 G.N.) Interior of the Denver & Rio Grande Western RR ticket office.
25049,Utah Historical Society,"San Pedro, Los Angeles & Salt Lake RR P.11","San Pedro, Los Angeles and Salt Lake Railroad window."
27082,Utah Historical Society,"Ely, Nevada P.18","Stagecoach, Ely, Nevada, Railroad Day, Sept., 1906."
2714858,Utah Historical Society,Double coal house for company dwellings,"San Pedro, Los Angeles and Salt Lake Railroad ; Salt Lake Division ; Double Coal House for Company Dwellings"
2714859,Utah Historical Society,"Corrugated pipe siphon, 1910","San Pedro, Los Angeles and Salt Lake Railroad ; Salt Lake Division ; Corrugated Iron Pipe Syphon"
27871,Utah Historical Society,"Bamberger Line property, April 21, 1907 (Bamberger Railroad P.15)","Bamberger Line property, April 21, 1907."
29430,Utah Historical Society,"Man sleeping in train car, 1913","D & RGRR man on train at Soldier Summit, Mar. 28, 1913."
29902,Utah Historical Society,"Crowd of men and women with baggage waiting for train, 1910",First trains out of Salt Lake at the new Denver & Rio Grande Western Railroad train at Salt Lake City Depot.
29903,Utah Historical Society,"Crowd of men and women with baggage, facing away from train, 1910",First trains out of the new Denver & Rio Grande Western Railroad Depot.
