when,record_id,created,field,value,why
2026-09-03T14:42:38,recseoEBrV0JByJsk,2026-09-02,Archive,Nevada Historical Society,"duplicate Image ID CHS-5712; empty stub, Alexa asked for deletion"
2026-09-03T14:42:38,recseoEBrV0JByJsk,2026-09-02,Category,Uncategorized,"duplicate Image ID CHS-5712; empty stub, Alexa asked for deletion"
2026-09-03T14:42:38,recseoEBrV0JByJsk,2026-09-02,Image ID,CHS-5712,"duplicate Image ID CHS-5712; empty stub, Alexa asked for deletion"
2026-09-03T14:42:38,recseoEBrV0JByJsk,2026-09-02,Sequence,462,"duplicate Image ID CHS-5712; empty stub, Alexa asked for deletion"
2026-09-03T16:53:18,recFkQ3U70itojvsB,2026-09-02,Archive,Wikimedia Commons,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recFkQ3U70itojvsB,2026-09-02,Caption,"Southern Nevada Consolidated Telephone-Telegraph Co. Building, Goldfield, NV, 1906",Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recFkQ3U70itojvsB,2026-09-02,Category,Uncategorized,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recFkQ3U70itojvsB,2026-09-02,Image ID,17527202,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recFkQ3U70itojvsB,2026-09-02,Keywords,"Telephone & Telegraph; Building Exterior; Street Scene; Goldfield, NV; Esmeralda County, NV; Mining Town; Signage",Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recFkQ3U70itojvsB,2026-09-02,Metadata Attached,True,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recFkQ3U70itojvsB,2026-09-02,Sequence,699,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recFkQ3U70itojvsB,2026-09-02,Source URL,"https://commons.wikimedia.org/wiki/File:Southern_Nevada_Consolidated_Telephone-Telegraph_Company_Building,_Goldfield,_Nevada.jpg",Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recFkQ3U70itojvsB,2026-09-02,Topic,P.119,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,reck2OiCI2S9M4NlP,2026-09-02,Archive,Wikimedia Commons,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,reck2OiCI2S9M4NlP,2026-09-02,Caption,"Brann Boardinghouse, Tonopah, NV, built 1906",Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,reck2OiCI2S9M4NlP,2026-09-02,Category,Uncategorized,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,reck2OiCI2S9M4NlP,2026-09-02,Image ID,82003220,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,reck2OiCI2S9M4NlP,2026-09-02,Keywords,"Boarding House; Building Exterior; Houses; Tonopah, NV; Nye County, NV; Mining Town",Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,reck2OiCI2S9M4NlP,2026-09-02,Metadata Attached,True,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,reck2OiCI2S9M4NlP,2026-09-02,Sequence,697,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,reck2OiCI2S9M4NlP,2026-09-02,Source URL,https://en.wikipedia.org/wiki/Brann_Boardinghouse,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,reck2OiCI2S9M4NlP,2026-09-02,Topic,P.42/43,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recmPqdiOA8rjVTo1,2026-09-02,Archive,Wikimedia Commons,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recmPqdiOA8rjVTo1,2026-09-02,Caption,"Street scenery, Goldfield, NV",Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recmPqdiOA8rjVTo1,2026-09-02,Category,Urban & Street Scenes,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recmPqdiOA8rjVTo1,2026-09-02,Image ID,8473926,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recmPqdiOA8rjVTo1,2026-09-02,Keywords,"Street Scene; Downtown; Building Exterior; Signage; Goldfield, NV; Esmeralda County, NV; Mining Town",Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recmPqdiOA8rjVTo1,2026-09-02,Metadata Attached,True,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recmPqdiOA8rjVTo1,2026-09-02,Sequence,732,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recmPqdiOA8rjVTo1,2026-09-02,Source URL,https://commons.wikimedia.org/wiki/File:Goldfield_NV_-_street_scenery.jpg,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recmPqdiOA8rjVTo1,2026-09-02,Topic,P.119,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recsorCG5QmeLGMsw,2026-09-02,Archive,Wikimedia Commons,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recsorCG5QmeLGMsw,2026-09-02,Caption,"Nortonia Boarding House, Reno, NV",Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recsorCG5QmeLGMsw,2026-09-02,Category,Uncategorized,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recsorCG5QmeLGMsw,2026-09-02,Image ID,83001121,Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recsorCG5QmeLGMsw,2026-09-02,Keywords,"Boarding House; Building Exterior; Houses; Reno, NV; Washoe County, NV; Residential Street",Alexa: not wanted (moved to 'Don't want' / back to August 26)
2026-09-03T16:53:18,recsorCG5QmeLGMsw,2026-09-02,Metadata Attached,True,Alexa: not wanted (moved to 'Don't want' / back to August 26)
