group,confidence,evidence,archive,catalog_id,title_caption,source_url,downloaded,keep_or_merge
1,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6d79r8r,Utah Historical Society,39222001684088,"Interior ticket counter with people, SLC, 1906",https://collections.lib.utah.edu/ark:/87278/s6d79r8r,,merge into KEEP
1,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6d79r8r,Utah Historical Society,23501,"Denver & Rio Grande Western Railroad Station, SLC P.53",https://collections.lib.utah.edu/ark:/87278/s6d79r8r,Yes,KEEP
2,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6hh6zvd,Utah Historical Society,39222001686224,"Women with parasols sticking out of train window, 1909",https://collections.lib.utah.edu/ark:/87278/s6hh6zvd,,KEEP
2,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6hh6zvd,Utah Historical Society,22587,Saltair Depot P.3,https://collections.lib.utah.edu/ark:/87278/s6hh6zvd,Yes,merge into KEEP
3,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6cv4s68,Utah Historical Society,39222001650899,"SP LA SL train and men, exterior station, SLC, 1910",https://collections.lib.utah.edu/ark:/87278/s6cv4s68,,KEEP
3,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6cv4s68,Utah Historical Society,750,"San Pedro, Los Angeles & Salt Lake RR P.2",https://collections.lib.utah.edu/ark:/87278/s6cv4s68,Yes,merge into KEEP
4,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6bv7r2w,Utah Historical Society,39222001650972,"SP LA SL RR ticket office exterior, Utah",https://collections.lib.utah.edu/ark:/87278/s6bv7r2w,,merge into KEEP
4,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6bv7r2w,Utah Historical Society,25049,"San Pedro, Los Angeles & Salt Lake RR P.11",https://collections.lib.utah.edu/ark:/87278/s6bv7r2w,Yes,KEEP
5,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s68g90jd,Utah Historical Society,39222001684096,"Interior ticket counter with people, SLC, 1908",https://collections.lib.utah.edu/ark:/87278/s68g90jd,,merge into KEEP
5,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s68g90jd,Utah Historical Society,23302,"Denver & Rio Grande Western Railroad Station, SLC P.54",https://collections.lib.utah.edu/ark:/87278/s68g90jd,Yes,KEEP
6,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6sb4gh4,Utah Historical Society,39222001456750,"Stagecoach with men, Ely NV, 1906",https://collections.lib.utah.edu/ark:/87278/s6sb4gh4,,KEEP
6,confirmed,same item-level link: https://collections.lib.utah.edu/ark:/87278/s6sb4gh4,Utah Historical Society,27082,"Ely, Nevada P.18",https://collections.lib.utah.edu/ark:/87278/s6sb4gh4,Yes,merge into KEEP
7,confirmed,same catalog ID once punctuation is normalized,USC Digital Library,CHS-33079,"Train crossing Santa Ana river, Riverside, 1904",https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ61RCFP5&PN=25&DocRID=2A3BF1YIGB0,,merge into KEEP
7,confirmed,same catalog ID once punctuation is normalized,USC Digital Library,CHS-33079,"Train crossing over the Santa Ana River in Riverside, circa 1904 (Creator: C.C. Pierce) [California Historical Society Collection, 1860-1960]",http://doi.org/10.25549/chs-m8202,,KEEP
8,confirmed,same catalog ID once punctuation is normalized,University of Nevada Reno,campphotoscollection:5367,Downtown Reno,https://unr.dgicloud.com/node/3206,Yes,KEEP
8,confirmed,same catalog ID once punctuation is normalized,,campphotoscollection_5367,campphotoscollection:5367 Downtown Reno,,Yes,merge into KEEP
9,confirmed,same catalog ID once punctuation is normalized,University of Nevada Reno,campphotoscollection:5365,"Downtown Reno, a few people",https://unr.dgicloud.com/node/11156,Yes,KEEP
9,confirmed,same catalog ID once punctuation is normalized,,campphotoscollection_5365,"campphotoscollection:5365 Downtown Reno, a few people",,Yes,merge into KEEP
10,confirmed,pixel-identical files on disk,Library of Congress,pan.6a13942,"Wide shot of Las Vegas, 1910, RR machine shops in progress",https://www.loc.gov/pictures/resource/pan.6a13942/,Yes,KEEP
10,confirmed,pixel-identical files on disk,,master-pnp-pan-6a13000-6a13900-6a13942u,pan 6a13942,,Yes,merge into KEEP
