sequence,image_id,category,script_pages,page_sort,archive,catalog_id,title_caption,source_url,keywords,downloaded,in_lightroom,metadata_attached
1,pho007141,Uncategorized,"P.4-5, P.51-54",4,UNLV Special Collections,pho007141,"Photograph of McWilliamstown, circa 1904 -- in what would become Las Vegas [Stewart (Helen J.) Photographs]",https://special.library.unlv.edu/ark:/62930/d1s756k2c,,Yes,Yes,Yes
2,MC38R7,People & Crowds,P.7-9,7,Alamy,MC38R7,"Railroad workers - Northern Pacific pose outside railroad car housing, ca. 1910",https://www.alamy.com/workers-for-the-northern-pacific-pose-outside-of-their-railroad-car-housing-ca-1910-image179552331.html,Workers; Railroad Workers; Railroads; Railroad Car,Yes,Yes,
3,snv002500,People & Crowds,P.7,7,UNLV Special Collections,snv002500,"First train arrives from LA in Las Vegas, crowd of people",https://special.library.unlv.edu/ark%3A/62930/d1fn1165b,"People; Crowds; Trains; Las Vegas, NV; Los Angeles, CA",Yes,Yes,
4,39222001684088,People & Crowds,P.7-11,7,Utah Historical Society,39222001684088,"Interior ticket counter with people, SLC, 1906",https://collections.lib.utah.edu/ark:/87278/s6d79r8r,People; Ticket Counter; Building Interior,,Yes,
5,39222001686224,People & Crowds,P.7-11,7,Utah Historical Society,39222001686224,"Women with parasols sticking out of train window, 1909",https://collections.lib.utah.edu/ark:/87278/s6hh6zvd,"Crowd at the Saltair Depot, June 29, 1909.",,Yes,
6,17638,People & Crowds,P.7-11,7,Utah Historical Society,17638,"Men and little boy posed by train, 1908",https://collections.lib.utah.edu/ark:/87278/s6v99qw4,Men; Trains,Yes,Yes,Yes
7,39222001650899,Trains & Railroads — General,P.7-11,7,Utah Historical Society,39222001650899,"SP LA SL train and men, exterior station, SLC, 1910",https://collections.lib.utah.edu/ark:/87278/s6cv4s68,"At the Union Pacific Depot in Salt Lake City, August, 1910. Man on the right, Frank Dearman. Gift of: Robert W. Edwards.",,Yes,
8,22256,Trains & Railroads — General,P.7-11,7,Utah Historical Society,22256,"SLC, LA Limited train, 1905",https://collections.lib.utah.edu/ark:/87278/s6x63wd7,"Union Pacific Railroad 22256 Los Angeles Limited. Awaiting for arrival, Dec. 19, 1905. Shipler Photograph #2004",Yes,Yes,Yes
9,22257,Trains & Railroads — General,P.7-11,7,Utah Historical Society,22257,"SLC, LA Limited train, 1905 (more steam)",https://collections.lib.utah.edu/ark:/87278/s6sf34nf,"Trains; Los Angeles, CA; Steam / Smoke",Yes,Yes,Yes
10,29430,Trains & Railroads — General,P.7-11,7,Utah Historical Society,29430,"Man sleeping in train car, 1913",https://collections.lib.utah.edu/ark:/87278/s6f19723,,Yes,Yes,Yes
11,39222001650972 / 206SPLASLUtahTicketOffice10,Trains & Railroads — Stations & Travel,P.7-11,7,Utah Historical Society,39222001650972 / 206SPLASLUtahTicketOffice10,"SP LA SL RR ticket office exterior, Utah",https://collections.lib.utah.edu/ark:/87278/s6bv7r2w,"San Pedro, Los Angeles and 
Salt Lake Railroad window.",,,
12,39222001684096,Trains & Railroads — Stations & Travel,P.7-11,7,Utah Historical Society,39222001684096,"Interior ticket counter with people, SLC, 1908",https://collections.lib.utah.edu/ark:/87278/s68g90jd,People; Ticket Counter; Building Interior; Denver & Rio Grande; ticket counter,,Yes,
13,pho004752,People & Crowds,P.9-17 (loose),9,UNLV Special Collections,pho004752,"Squires family at his mine, Mt. Charleston, 1912",https://special.library.unlv.edu/ark%3A/62930/d1qr4nq4p,,Yes,Yes,Yes
14,pho006190,People & Crowds,P.9-11,9,UNLV Special Collections,pho006190,Delphine Squires with daughters (1900 to 1905),https://special.library.unlv.edu/ark:/62930/d1ns0kx6q,"Children; Charles “Pop” Squires; Delphine Squires; Los Angeles, CA; Squires; delphine square; family; children; farm",Yes,Yes,
15,CHS-2136,Trains & Railroads — General,P.9-11,9,USC Digital Library,CHS-2136,"La Grande Depot, Los Angeles",https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZSBF6HLA&PN=1&DocRID=2A3BF1LXBZH,"Railroad Depot; Los Angeles, CA",Yes,Yes,Yes
16,16322,Trains & Railroads — General,P.9-11,9,Utah Historical Society,16322,Rio Grande Western Railroad P.29,https://collections.lib.utah.edu/ark:/87278/s6jm3tfk,"Castle Gate, Utah",Yes,Yes,Yes
17,photCL 486 (030),Commerce & Buildings,P.11 (loose),11,Huntington Library,photCL 486 (030),"Union League building, Los Angeles (1957 - low priority)",https://hdl.huntington.org/digital/collection/p15150coll2/id/6210,"Union League Club; Los Angeles, CA",Yes,Yes,Yes
18,G91F370_004F,Commerce & Buildings,P.11 (loose),11,New York Public Library,G91F370_004F,"Union League Club (Philadelphia), smoking room",https://digitalcollections.nypl.org/items/daa17960-c567-012f-fafd-58d385a7bc34,"Union League Club; New York City, NY",,Yes,
19,723882F,Events & Disasters,P.11 (loose),11,New York Public Library,723882F,"Wall St. Panic, 1907",https://digitalcollections.nypl.org/items/0bca26c0-c554-012f-2667-58d385a7bc34,"Financial Panic (Wall St., 1907); New York City, NY; Wall Street, NY",Yes,Yes,
20,22582,People & Crowds,P.11-13,11,Utah Historical Society,22582,"TRAIN - Crowds of people, some dressed up, 5/1/1905",https://collections.lib.utah.edu/ark:/87278/s64b38sz,,Yes,Yes,Yes
21,22583,People & Crowds,P.11-13,11,Utah Historical Society,22583,"Crowds of people, some dressed up, 5/1/1905",https://collections.lib.utah.edu/ark:/87278/s60k2j16,,Yes,Yes,Yes
22,RYM9T9,Trains & Railroads — General,P.11,11,Alamy,RYM9T9,"SP LA SL Railroad Depot, Riverside, California, 1905",https://www.alamy.com/san-pedro-los-angeles-salt-lake-railroad-depot-riverside-california-1905-california-riverside-the-san-pedro-los-angeles-salt-lake-ry-united-states-of-america-image240777273.html,"Railroads; Railroad Depot; Los Angeles, CA; Riverside, CA",Yes,Yes,Yes
23,pho014116-006,Trains & Railroads — General,"Yes -- script table row 11 (~1:04:00, ""workers joined by savvy businessmen"" narration): ""Pho014116-006-02 people w/train LR"" (top photo on this album page, group at S.P.L.A.&S.L. boxcars)",11,UNLV Special Collections,pho014116-006,"Photograph album 2, Charles P. Squires Collection, page 6, circa 1910-1920 -- album page with 3 photos: group with horse wagon in front of San Pedro Los Angeles & Salt Lake Railroad boxcars; stone building in desert with woman in doorway; row of weathered shacks",https://special.library.unlv.edu/node/329255,,Yes,Yes,Yes
24,CHS-33079,Trains & Railroads — General,P.11,11,USC Digital Library,CHS-33079,"Train crossing Santa Ana river, Riverside, 1904",https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZ61RCFP5&PN=25&DocRID=2A3BF1YIGB0,"Trains; Riverside, CA; Santa Ana River, CA; arch bridge; bridge; crossing",,Yes,Yes
25,photCL 470 (007),Urban & Street Scenes,P.11,11,Huntington Library,photCL 470 (007),"LA Street scenes, 1905 (Squires before LV)",https://hdl.huntington.org/digital/collection/p15150coll2/id/4217,"Street Scene; Charles “Pop” Squires; Los Angeles, CA; ca; hope; panorama; street scene",Yes,Yes,Yes
26,photCL Pierce 00059,Urban & Street Scenes,P.11,11,Huntington Library,photCL Pierce 00059,"LA Street scenes, 1905",https://hdl.huntington.org/digital/collection/p15150coll2/id/3469,"Street Scene; Los Angeles, CA; LA; Bank; Building; California",Yes,Yes,Yes
27,photCL Pierce 00062,Urban & Street Scenes,P.11,11,Huntington Library,photCL Pierce 00062,"LA Street scenes, 1905",https://hdl.huntington.org/digital/collection/p15150coll2/id/3470,"Street Scene; Los Angeles, CA; YMCA; architecture; california; carriage; commercial; pedestrians",Yes,Yes,Yes
28,photCL 470 (002),Urban & Street Scenes,P.11,11,Huntington Library,photCL 470 (002),"LA Street scenes, 1905 (gallery upload)",https://hdl.huntington.org/digital/collection/p15150coll2/id/4229,"Aerial View; Los Angeles, CA; aerial; balloon; city; los angeles; panorama; town",Yes,Yes,Yes
