image_id,Keywords
17527202,"Telephone & Telegraph; Building Exterior; Street Scene; Goldfield, NV; Esmeralda County, NV; Mining Town; Signage"
177247046,Governor Dickerson; Governor; Solo Portrait; Men; People; Black & White Photograph
82003220,"Boarding House; Building Exterior; Houses; Tonopah, NV; Nye County, NV; Mining Town"
83001121,"Boarding House; Building Exterior; Houses; Reno, NV; Washoe County, NV; Residential Street"
8473926,"Street Scene; Downtown; Building Exterior; Signage; Goldfield, NV; Esmeralda County, NV; Mining Town"
AAB-6092,"Street Scene; Downtown; City View; Building Exterior; San Francisco, CA; Crowds; Signage"
ESM-01420,"Horse & Buggy; Horses; Horse-Drawn Wagon; Road; Landscape; Esmeralda County, NV; Nevada Historical Society"
pho019885,"Ranch; Della McGriff; McGriff Family; Well; Men; Women; Las Vegas, NV; Clark County, NV"
pho033930-003,"Camping; Families; Wilson Family; Park Family; Mt. Charleston, NV; Trees; Landscape; Clark County, NV"
snv002133,"Mines; Miners; Mine Tunnel; Men; Mining Town; Searchlight, NV; Clark County, NV; UNLV Special Collections"
tey0054,"State Senate / Legislature; Posed Group Portrait; Men; Crowds; Carson City, NV; Black & White Photograph"
tey0087,"Railroad Depot; Train Station; Virginia & Truckee Railroad; Railroads; Building Exterior; Carson City, NV"
Pho016224,"Mrs. Park; Park Family; Porch; Dogs; Houses; Women; Las Vegas, NV; Clark County, NV"
Pho024864-004,"Beckley Family; Families; Posed Group Portrait; People; Las Vegas, NV; Clark County, NV"
