kind,image_id,archive,lightroom_filename,asset_id,note
photograph,FirstMailPlane,(blank),1993_5P_2_002a.jpg,fe51283440c94b748ee5fc3f0944db7c,needs a source URL to trace and buy the TIF
newspaper clipping,LasVegasScheme,(blank),LasVegasScheme.jpg,65138d206c704824bb8fc4de23ceb8ec,"reference scan, not an image to re-source"
newspaper clipping,AttackUnwarranted,(blank),AttackUnwarranted.jpg,6488c0698b99403b8ec92110f6b984eb,"reference scan, not an image to re-source"
newspaper clipping,Salt_Lake_Telegram_1905_05_02_1,Newspaper,Salt_Lake_Telegram_1905_05_02_1.jpg,027a6185a8e44487a9ef3e275039d6f7,"reference scan, not an image to re-source"
newspaper clipping,GossipFromTheFront,(blank),GossipFromTheFront.jpg,3df8309f94fb48c3a22f56ca46fbe344,"reference scan, not an image to re-source"
newspaper clipping,The_Salt_Lake_Tribune_1905_05_14_Page_23,Newspaper,The_Salt_Lake_Tribune_1905_05_14_Page_23.jpg,663d232dc60a4ff981f395cc05e27739,"reference scan, not an image to re-source"
newspaper clipping,Salt_Lake_Telegram_1905_06_12_15,Newspaper,Salt_Lake_Telegram_1905_06_12_15.jpg,b17e57c5438c4a10919e0d2ffb739050,"reference scan, not an image to re-source"
newspaper clipping,The_Los_Angeles_Times_1905_06_06_19,Newspaper,The_Los_Angeles_Times_1905_06_06_19.jpg,f84592a6a5684b699f79fab9ac0a8ee8,"reference scan, not an image to re-source"
newspaper clipping,The_Los_Angeles_Times_1905_06_11_53,Newspaper,The_Los_Angeles_Times_1905_06_11_53.jpg,6d0c138314af488cbb4e8cb38dc0c5ad,"reference scan, not an image to re-source"
newspaper clipping,Deseret_News_1905_05_12_Page_8,Newspaper,Deseret_News_1905_05_12_Page_8.jpg,f2e49af5ff604d0aad32d65ab22ffe78,"reference scan, not an image to re-source"
newspaper clipping,The_Los_Angeles_Times_1905_05_13_11,Newspaper,The_Los_Angeles_Times_1905_05_13_11.jpg,24c08c6fd88544eca637398b5533dc2d,"reference scan, not an image to re-source"
newspaper clipping,TheMagicCity,(blank),TheMagicCity.jpg,0e5a9c00ba204f459623c94ab1017d0b,"reference scan, not an image to re-source"
newspaper clipping,The_Los_Angeles_Times_1905_06_04_50,Newspaper,The_Los_Angeles_Times_1905_06_04_50.jpg,e3e166947c46411dbd4f88301ae851c4,"reference scan, not an image to re-source"
newspaper clipping,Los_Angeles_Herald_1905_05_28_Page_4,Newspaper,Los_Angeles_Herald_1905_05_28_Page_4.jpg,5f01ffb8cb694a2ca8f780618d53c60c,"reference scan, not an image to re-source"
newspaper clipping,The_Los_Angeles_Times_1905_05_29_5,Newspaper,The_Los_Angeles_Times_1905_05_29_5.jpg,5931b1e19b68433391a8b4644c98cf6f,"reference scan, not an image to re-source"
newspaper clipping,FactsAboutLasVegas,(blank),FactsAboutLasVegas.jpg,ea11a85ed3e04692b2ae5190448455d5,"reference scan, not an image to re-source"
newspaper clipping,WonderfulNewCity,(blank),WonderfulNewCity.jpg,36a9e2c09b8d4334874a4f3e14aa0ca9,"reference scan, not an image to re-source"
newspaper clipping,LasVegasRushExpected,(blank),LasVegasRushExpected.jpg,389c8a9f762147838839c49f948b6429,"reference scan, not an image to re-source"
newspaper clipping,The_Los_Angeles_Times_1905_05_12_28,Newspaper,The_Los_Angeles_Times_1905_05_12_28.jpg,162ac05bad474cf9bf8f4ab4980ebb5d,"reference scan, not an image to re-source"
newspaper clipping,LasVegasImprovement,(blank),LasVegasImprovement.jpg,af8f26e528b643d5a3a8bc0c03ec71a0,"reference scan, not an image to re-source"
newspaper clipping,Los_Angeles_Evening_Express_1905_05_18_2,Newspaper,Los_Angeles_Evening_Express_1905_05_18_2.jpg,27f1366e46a64d1e830415f47617b4f9,"reference scan, not an image to re-source"
newspaper clipping,LasVegasWillImprove,(blank),LasVegasWillImprove.jpg,3d8d0dfddd624991a590428e858b7ab8,"reference scan, not an image to re-source"
newspaper clipping,Los_Angeles_Evening_Express_1905_07_17_2,Newspaper,Los_Angeles_Evening_Express_1905_07_17_2.jpg,19bf56ade9194201aa18bf5c46a8a31b,"reference scan, not an image to re-source"
newspaper clipping,FearfulOfBanditRaid,(blank),FearfulOfBanditRaid.jpg,afb64b81fb3c451d9b257a47a810bc80,"reference scan, not an image to re-source"
newspaper clipping,Los_Angeles_Evening_Express_1905_05_17_9,Newspaper,Los_Angeles_Evening_Express_1905_05_17_9.jpg,a11b300bd08d4d5692f6fef3c58afec5,"reference scan, not an image to re-source"
newspaper clipping,Los_Angeles_Evening_Express_1905_06_27_11,Newspaper,Los_Angeles_Evening_Express_1905_06_27_11.jpg,1ab5875e83254eadab7487a0748e24c4,"reference scan, not an image to re-source"
newspaper clipping,The_Pomona_Daily_Review_1905_06_20_4,Newspaper,The_Pomona_Daily_Review_1905_06_20_4.jpg,f8290f017cc54d5bbdd68944704f2717,"reference scan, not an image to re-source"
photograph,0038 0037,(blank),0038 0037.jpg,ea73639039164c5cba5677ad0a360d53,needs a source URL to trace and buy the TIF
newspaper clipping,Las_Vegas_Age_1911_04_29_8,Newspaper,Las_Vegas_Age_1911_04_29_8.jpg,2ee82c630d874c4a819038e894c5d9f0,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_15_5,Newspaper,Las_Vegas_Age_1911_04_15_5.jpg,e4d4de94c1d44876be25a6938c6fa806,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_15_4,Newspaper,Las_Vegas_Age_1911_04_15_4.jpg,fae6980ce41c4f6ebdc39e499e74f0d0,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_15_1,Newspaper,Las_Vegas_Age_1911_04_15_1.jpg,5f5fca676123480682329d16137253ee,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_08_5,Newspaper,Las_Vegas_Age_1911_04_08_5.jpg,be58f14fc1124fa1800ec57511a7c0f2,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_08_4,Newspaper,Las_Vegas_Age_1911_04_08_4.jpg,ebc3383252d14c868c77c00f77941e2b,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_08_1,Newspaper,Las_Vegas_Age_1911_04_08_1.jpg,b669657280744f2da8cc06e69df03fce,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_03_04_8,Newspaper,Las_Vegas_Age_1911_03_04_8.jpg,925e581dc1a944098588e5bdbd5596e8,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_03_04_1,Newspaper,Las_Vegas_Age_1911_03_04_1.jpg,00db5d013b4f4e7fb59e3181828265e2,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_02_25_8,Newspaper,Las_Vegas_Age_1911_02_25_8.jpg,10642b2279ed4c7b8eb3d9971528cddf,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_02_25_7,Newspaper,Las_Vegas_Age_1911_02_25_7.jpg,5ec4a22fea3c4f7db192b489eba522ac,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_02_25_4,Newspaper,Las_Vegas_Age_1911_02_25_4.jpg,5c6158bad3674e29bd4a09405b39a115,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_01_14_3,Newspaper,Las_Vegas_Age_1911_01_14_3.jpg,3a78aa91079147218adc19873398ad56,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_01_07_3,Newspaper,Las_Vegas_Age_1911_01_07_3.jpg,3a95acec5dd748aabdd884b4c6b6b9d7,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_01_07_1,Newspaper,Las_Vegas_Age_1911_01_07_1.jpg,3b788593493a46579f2acb2ff5b4a0b5,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_27_8,Newspaper,Las_Vegas_Age_1911_05_27_8.jpg,318eb5e33bcb4d56961389ce50021430,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_27_5,Newspaper,Las_Vegas_Age_1911_05_27_5.jpg,4bd95a70a11a40d3b91e5cc89db9abe3,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_27_1,Newspaper,Las_Vegas_Age_1911_05_27_1.jpg,9742e0f03dbb4337b74caf244c4abc22,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_13_8,Newspaper,Las_Vegas_Age_1911_05_13_8.jpg,d7eeb507792140839d1604a363443799,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_13_5,Newspaper,Las_Vegas_Age_1911_05_13_5.jpg,3cbbedbfb94046e9a63e59500511e2a2,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_13_2,Newspaper,Las_Vegas_Age_1911_05_13_2.jpg,4d0df6a69d2b44888ed97d7b1bc1e36e,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_13_1,Newspaper,Las_Vegas_Age_1911_05_13_1.jpg,f63a7ff07d2442d29623c9164ac4836b,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_06_8,Newspaper,Las_Vegas_Age_1911_05_06_8.jpg,ace69b6a0c904a12918f7adc7c5b967b,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_06_5,Newspaper,Las_Vegas_Age_1911_05_06_5.jpg,6333d0a52c1f4339bc7cef774597e8ea,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_06_2,Newspaper,Las_Vegas_Age_1911_05_06_2.jpg,257167dead9242158f69c82fd3e7c36d,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_06_1,Newspaper,Las_Vegas_Age_1911_05_06_1.jpg,758397038dc2483c85ec9cd3828b9e1e,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_09_7,Newspaper,Las_Vegas_Age_1911_09_09_7.jpg,f286f60255c844279fc7610e09ba50d1,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_09_5,Newspaper,Las_Vegas_Age_1911_09_09_5.jpg,f9633ff6dac64995b479ee1d9a3f5021,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_09_2,Newspaper,Las_Vegas_Age_1911_09_09_2.jpg,41abda16887b4a6c86a5a3034b7c0ffb,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_16_7,Newspaper,Las_Vegas_Age_1911_09_16_7.jpg,d5c7a4587be14d729b09d655c6ebe530,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_16_5,Newspaper,Las_Vegas_Age_1911_09_16_5.jpg,11707ebd1ccd43bba927bfed77ab09c2,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_16_2,Newspaper,Las_Vegas_Age_1911_09_16_2.jpg,4138aa5f44bd4cd89e8b3b3cedc26957,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_09_16_1,Newspaper,Las_Vegas_Age_1911_09_16_1.jpg,6ae78b367c3f4cb09f10af58fcb8157e,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_01_14_8,Newspaper,Las_Vegas_Age_1911_01_14_8.jpg,d1bcde1483a14dfbbc06647dd418d8a7,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_01_07_8,Newspaper,Las_Vegas_Age_1911_01_07_8.jpg,61d48bae3c54451b92c6006c1c52f414,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_01_07_5,Newspaper,Las_Vegas_Age_1911_01_07_5.jpg,17c67615d01e4124a887434c6d962242,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_01_07_4,Newspaper,Las_Vegas_Age_1911_01_07_4.jpg,176b536efeff4780946b95584ef894e1,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_29_5,Newspaper,Las_Vegas_Age_1911_04_29_5.jpg,a0e4483b199846b1807c02ffc418300f,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_03_04_5,Newspaper,Las_Vegas_Age_1911_03_04_5.jpg,a8b175672de8469d9bbeae1c93dd4734,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_04_29_1,Newspaper,Las_Vegas_Age_1911_04_29_1.jpg,e21e8048b6df4819997effe020538496,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_01_14_5,Newspaper,Las_Vegas_Age_1911_01_14_5.jpg,e69e5201c28840d18597ca55f94d4a60,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_05_06_4,Newspaper,Las_Vegas_Age_1911_05_06_4.jpg,97e103d133da4b48b6234707143160d1,"reference scan, not an image to re-source"
newspaper clipping,Las_Vegas_Age_1911_02_25_5,Newspaper,Las_Vegas_Age_1911_02_25_5.jpg,6ce863ea4a35471692770eac51641a00,"reference scan, not an image to re-source"
newspaper clipping,The_Fairbury_Blade_1911_08_04_1,Newspaper,The_Fairbury_Blade_1911_08_04_1.jpg,a9af1174e35f4d7fa576bddf610fc38f,"reference scan, not an image to re-source"
newspaper clipping,The_Oregon_Daily_Journal_1911_07_06_10,Newspaper,The_Oregon_Daily_Journal_1911_07_06_10.jpg,4f1caf0c118649408686584a53af4e4d,"reference scan, not an image to re-source"
