archive,airtable_image_id,copies,action,lightroom_filename,asset_id,created,title,airtable_should_become
Alamy,2EJ3T8R,2,KEEP,2EJ3T8R.jpg,04d898c831d7e7a25d0dc0b5bd6f88d7,2026-09-01T09:14:03,2EJ3T8R Vintage plans of Building - System of drainage and water suppl,
Alamy,2EJ3T8R,2,DELETE,vintage-plans-of-building-system-of-drainage-and-water-supply-essential-to-proper-sanitation-1900s-2EJ3T8R.jpg,dd04d14b001a13159d9b3b43b59c5781,2026-09-01T09:22:25,2EJ3T8R,
Alamy,2M2JKRR,2,KEEP,2M2JKRR.jpg,a3de11f9dc90a533a02b78e71f8dc241,2026-09-01T09:24:11,"2M2JKRR Distribution Department, Spot Pond Brook, Wyoming Avenue culve",
Alamy,2M2JKRR,2,DELETE,distribution-department-spot-pond-brook-wyoming-avenue-culvert-westerly-end-melrose-mass-apr-30-1904-waterworks-brooks-watershed-sanitary-improvement-2M2JKRR.jpg,c1fd978d553d28a60c5a4cf6f5ba4e1a,2026-07-22T21:59:47,2M2JKRR,
Alamy,2M2JKTF,2,KEEP,2M2JKTF.jpg,b6faf217235dd185da62e8ed0e592608,2026-09-01T09:24:12,"2M2JKTF Distribution Department, Spot Pond Brook, Winter Street culver",
Alamy,2M2JKTF,2,DELETE,distribution-department-spot-pond-brook-winter-street-culvert-northerly-end-malden-mass-apr-30-1904-waterworks-brooks-watershed-sanitary-improvement-2M2JKTF.jpg,eaa14b9ccd054831e4a68d91a46fcdb8,2026-07-22T21:59:09,2M2JKTF,
Alamy,2RGMMJ1,2,KEEP,interior-of-dgs-store-wash-dc-ca-1910s-2RGMMJ1.jpg,f169e872d41d7cac77dfb71459a5c1c6,2026-08-31T19:46:57,2RGMMJ1,interior-of-dgs-store-wash-dc-ca-1910s-2RGMMJ1
Alamy,2RGMMJ1,2,DELETE,interior-of-dgs-store-wash-dc-ca-1910s-2RGMMJ1.jpg,c81e41a4275748b067db0571f9fa7c5e,2026-07-22T20:35:59,2RGMMJ1,
Alamy,RYM9T9,2,KEEP,RYM9T9.jpg,4f25ef25695626687da7d922878b5798,2026-09-01T09:24:18,"RYM9T9 San Pedro, Los Angeles, & Salt Lake Railroad Depot (Riverside, ",
Alamy,RYM9T9,2,DELETE,san-pedro-los-angeles-salt-lake-railroad-depot-riverside-california-1905-california-riverside-the-san-pedro-los-angeles-salt-lake-ry-united-states-of-america-RYM9T9.jpg,fdb8bca01e64479083ffb081e7edca56,2026-08-31T18:43:23,RYM9T9,
Library of Congress,pan.6a13942,2,KEEP,pan.6a13942.tif,7999b917334eec6b161b39b620fd74a1,2026-09-01T09:11:36,pan.6a13942,
Library of Congress,pan.6a13942,2,DELETE,pan.6a13942.tif,c61ca78f6d434aa65d201b4d20ea78b8,2026-09-01T08:17:38,"pan.6a13942 Las Vegas, Nevada (panoramic photograph)",
Nevada Historical Society,BIO-O-00038,2,KEEP,BIO-O-00038.tif,edea35c5c5582cd5aab78d0fb73a07f8,2026-09-03T18:45:40,BIO-O-00038,
Nevada Historical Society,BIO-O-00038,2,DELETE,BIO-O-00038.tif,5b632e25709678666ee39daa6b898c83,2026-09-03T16:03:58,BIO-O-00038,
Nevada Historical Society,BIO-O-00056,2,KEEP,BIO-O-00056.tif,d562e7402b59fb0e308991271d523720,2026-09-03T18:45:39,BIO-O-00056,
Nevada Historical Society,BIO-O-00056,2,DELETE,BIO-O-00056.tif,44ef764bf9a79c64a1e8ee398d5ad3c7,2026-09-03T17:20:24,BIO-O-00056,
Nevada Historical Society,CA-00138,2,KEEP,CA-00138.tif,d859e6aacc8ee81eaf78f093704e057b,2026-09-03T18:45:40,CA-00138,
Nevada Historical Society,CA-00138,2,DELETE,CA-00138.tif,dd2176acdaca13ac2c1ab855d56a7a20,2026-09-03T17:20:24,CA-00138,
Nevada Historical Society,CC-00802,2,KEEP,CC-00802.tif,72c7ac40442d69bd69c0279e6b223c8d,2026-08-26T17:08:12,CC-00802,
Nevada Historical Society,CC-00802,2,DELETE,CC-00802.jpg,3c143d2e9c075e4883b4224a0c52b7c0,2026-08-31T19:55:44,2RGMMJ1,
Nevada Historical Society,CL-00560,3,KEEP,CL-00560.tif,3da3f9ce48da8d78520311f8d1e3bab0,2026-09-03T18:45:51,CL-00560,
Nevada Historical Society,CL-00560,3,DELETE,CL-00560.tif,46ff7dfeabf4f2a29659d6ad0681c342,2026-09-03T17:20:23,CL-00560,
Nevada Historical Society,CL-00560,3,DELETE,CL-00560.tif,0ee78c8a276a3800d99c69c7daa761af,2026-09-03T17:20:23,,
Nevada Historical Society,EF-01397,2,KEEP,EF-01397.tif,64fa804a9e6bc18f6fa8f5100aa2d6c0,2026-09-03T18:45:40,EF-01397,
Nevada Historical Society,EF-01397,2,DELETE,EF-01397.tif,a6ef448a4e6b735d05fc0fe3a85ce766,2026-09-03T17:20:24,EF-01397,
Nevada Historical Society,EF-01925,2,KEEP,EF-01925.tif,ec62b16af9de88807c5e32e7244860a8,2026-09-03T18:45:58,EF-01925,
Nevada Historical Society,EF-01925,2,DELETE,EF-01925.tif,a0494b3f914fe93b332689d29297eb4c,2026-09-03T18:31:25,EF-01925,
Nevada Historical Society,LN-00156,2,KEEP,LN-00156.tif,824fcbf7b1169b20b6f3623e0cb6aca4,2026-09-03T18:45:58,LN-00156,
Nevada Historical Society,LN-00156,2,DELETE,LN-00156.tif,6f77d618fcf92251bb091f6c50c085b0,2026-09-03T17:20:23,LN-00156,
Nevada Historical Society,NYE-00715,2,KEEP,NYE-00715.tif,24ff8ef85eb1b9031a061ceee1ee8ae9,2026-09-03T18:46:06,NYE-00715,
Nevada Historical Society,NYE-00715,2,DELETE,NYE-00715.tif,6b4d84ba5f5a6493294550be60e24d5f,2026-09-03T17:20:23,NYE-00715,
Nevada Historical Society,NYE-01593,2,KEEP,NYE-01593.tif,4fd3322cea1d86bb74e05f2c96672d80,2026-09-03T18:46:12,NYE-01593,
Nevada Historical Society,NYE-01593,2,DELETE,NYE-01593.tif,0fec8e3b9b8ff6393cacfd41707bbd37,2026-09-03T17:20:23,NYE-01593,
Nevada Historical Society,NYE-01718,2,KEEP,NYE-01718.tif,44d87a7cd94db6b9c773965ba6cb51d5,2026-09-03T18:46:14,NYE-01718,
Nevada Historical Society,NYE-01718,2,DELETE,NYE-01718.tif,2b044eee2f0d4007d013297d06e577f8,2026-09-03T17:20:23,NYE-01718,
Nevada Historical Society,NYE-01746,2,KEEP,NYE-01746.tif,1ca1c25d7c6ec81765c538942ecfead8,2026-09-03T18:46:13,NYE-01746,
Nevada Historical Society,NYE-01746,2,DELETE,NYE-01746.tif,506e402e41864634d410e9e7bbfbdc2e,2026-09-03T17:20:23,NYE-01746,
Nevada Historical Society,SMITH-0128,2,KEEP,SMITH-0128.tif,4646173a088c4dc38d4308f30546fa54,2026-09-03T18:46:16,SMITH-0128,
Nevada Historical Society,SMITH-0128,2,DELETE,smith0128.tif,ee98ec7645b58b825454795c7d0cce41,2026-09-03T17:20:24,smith0128,
Northwest Museum (Ferris Archives),L87-1.2384-10,2,KEEP,L87-1.2384-10.jpeg,554fbad476a49ea27fd2ac31cc193c8a,2026-09-01T09:24:18,"L87-1.2384-10 Couple Dining in Davenport Restaurant, 1910",
Northwest Museum (Ferris Archives),L87-1.2384-10,2,DELETE,Screenshot 2026-07-23 at 4.22.44 PM.png,e8d961628b39ccf44fa7cb1c15f783b2,2026-07-23T20:22:51,L87-1.2384-10,
San Francisco Public Library,AAA-7143,2,KEEP,AAA-7143.tiff,dc7d69a74ff8f173f681025daf7862d7,2026-08-27T14:39:32,AAA-7143,
San Francisco Public Library,AAA-7143,2,DELETE,AAA-7143.jpg,5a9ae95891984af159e4fbfbd3fc99ef,2026-07-23T19:18:38,AAA-7143,
San Francisco Public Library,AAB-6085,2,KEEP,AAB-6085.tiff,a34110df551fa3b1ecd2317ab3f0f09e,2026-08-27T14:34:00,AAB-6085,
San Francisco Public Library,AAB-6085,2,DELETE,AAB-6085.tiff,8855365fb9ff61a8a9198b10cb7bb302,2026-08-27T14:30:55,AAB-6085,
UNLV Special Collections,hln000066,2,KEEP,hln000066.tif,08f63942f3680317697cb6e154e3cc3f,2026-09-01T09:12:40,hln000066,
UNLV Special Collections,hln000066,2,DELETE,hln000066.tif,4825c14181b7d3ed49caff5362467fb0,2026-09-01T08:17:35,hln000066 Photograph of people camped on the Colorado River in the Veg,
UNLV Special Collections,hln000221,2,KEEP,hln000221.tif,8742b89f90dd5062f2b3245db4da28a7,2026-09-01T09:08:24,,
UNLV Special Collections,hln000221,2,DELETE,hln000221.tif,24f945ffb95dd8bc6c5d70cbcdd070ae,2026-09-01T08:17:57,hln000221 Photograph of a drill rig putting down the hole for the firs,
UNLV Special Collections,pho004806,2,KEEP,pho004806.tif,a025b530bffae3678560dec59653fa1c,2026-09-01T09:09:09,pho004806,
UNLV Special Collections,pho004806,2,DELETE,pho004806.tif,bd5fa5fc6c0ad807e34347660cd84388,2026-09-01T08:17:54,"pho004806 Film transparency of the railroad yard, Las Vegas, 1913",
UNLV Special Collections,pho004893,2,KEEP,pho004893.tif,893d027326d6f4ac438418477c05cfa5,2026-09-01T09:06:32,pho004893,
UNLV Special Collections,pho004893,2,DELETE,pho004893.tif,b18b03b912cb7e1c692e046789d24087,2026-09-01T08:18:12,"pho004893 Photograph of the railroad yards, Las Vegas, circa 1913",
UNLV Special Collections,pho006079,2,KEEP,pho006079.tif,078d528c919209716b5df3633eeb0b30,2026-09-01T08:17:57,"pho006079 Photograph of the Arizona Club, Las Vegas, Nevada, circa 190",
UNLV Special Collections,pho006079,2,DELETE,pho006079.tif,c248e80a8f038f85b40d82639f356ce8,2026-08-31T22:21:53,pho006079,
UNLV Special Collections,pho006111,2,KEEP,pho006111.tif,7e4dc158bba11930eeb47ed126425a14,2026-08-28T02:42:05,pho006111,
UNLV Special Collections,pho006111,2,DELETE,pho006111.tif,eebdd719aee84ff1a1540dda13b28cd3,2025-01-28T17:33:13,pho006111,
UNLV Special Collections,pho006293,2,KEEP,pho006293.tif,c76abb921c43249e49cf5d4998c3eed3,2026-09-01T09:02:36,pho006293,
UNLV Special Collections,pho006293,2,DELETE,pho006293.tif,ca61710637c5e69f3aa4b7cde0e73837,2026-09-01T08:18:28,"pho006293 Slide of the First Ice Plant in Las Vegas, circa early 1900s",
UNLV Special Collections,pho006296,2,KEEP,pho006296.tif,c723d32ceca62708d130ce50af243a49,2026-09-01T09:03:52,pho006296,
UNLV Special Collections,pho006296,2,DELETE,pho006296.tif,fb8feb9a7061e446cd7dd5b1f71e5601,2026-09-01T08:18:23,"pho006296 Slide of the Thomas Department Store, Las Vegas, circa early",
UNLV Special Collections,pho006301,2,KEEP,pho006301.tif,277af5571b43b4936d6da6103fe091d5,2026-08-31T17:48:17,pho006301,
UNLV Special Collections,pho006301,2,DELETE,pho006301.tif,103e2d119ff342159d373b87b9967114,2025-01-29T20:31:32,pho006301,
UNLV Special Collections,pho006890,2,KEEP,pho006890.tif,118e14f65e4cd141183ff53de8f81e91,2026-08-31T17:49:04,pho006890,
UNLV Special Collections,pho006890,2,DELETE,pho006890.tif,e7fde9e4612343c3ad0c31b70ead2293,2025-01-29T19:58:04,pho006890,
UNLV Special Collections,pho006892,2,KEEP,pho006892.tif,c351a5e9d6a41df8f54cbe6092df8d6a,2026-08-31T17:49:15,pho006892,
UNLV Special Collections,pho006892,2,DELETE,pho006892.tiff,79029760acf444169f3cef1cee82271a,2023-05-03T14:36:12,pho006892,
UNLV Special Collections,pho007141,2,KEEP,pho007141.tif,647f0bd884d16205517a141d9ab4f480,2026-08-27T13:09:03,pho007141,
UNLV Special Collections,pho007141,2,DELETE,pho007141 (1).tif,d85d322cb236b2a996853547a916858b,2026-07-15T15:01:57,pho007141,
UNLV Special Collections,pho012890,2,KEEP,pho012890.tif,9be4d1007b7a36965d01e1cb334ea115,2026-09-01T08:58:23,pho012890,
UNLV Special Collections,pho012890,2,DELETE,pho012890.tif,1ece49cf61726c663e8af2751c147406,2026-09-01T08:18:42,"pho012890 Postcard of ""The Boozy Burros"" bar, 1905",
UNLV Special Collections,pho013444,3,KEEP,pho013444.tif,baf22606ba17d8a3a77d7ac537cdd4df,2026-09-01T08:57:51,pho013444,
UNLV Special Collections,pho013444,3,DELETE,pho013444.tif,40d63c916f6fcefc97fc56207aba07cc,2026-08-31T17:49:05,pho013444,
UNLV Special Collections,pho013444,3,DELETE,pho013444.tif,c96b98368d3ba9ae2798e210aa16e8f9,2026-09-01T08:18:45,"pho013444 Photograph of Wagon hauling freight in Eldorado Canyon, Neva",
UNLV Special Collections,pho014952,2,KEEP,pho014952.tif,c585034eeee71c0f6aec9884a86b11d8,2026-09-01T08:55:42,pho014952,
UNLV Special Collections,pho014952,2,DELETE,pho014952.tif,647f907df2be829d86fd58d2425a06b1,2026-09-01T08:19:05,"pho014952 Photograph of railroad yards, Las Vegas, circa 1910s",
UNLV Special Collections,pho017630,2,KEEP,pho017630.tif,248a8d70f38dfd2593305d08e257a2ce,2026-09-01T08:19:00,"pho017630 Photograph of the railroad yard, Las Vegas, circa 1910",
UNLV Special Collections,pho017630,2,DELETE,pho017630.tif,3d74410e6054f04fab0901246c1eb086,2026-08-31T22:22:01,pho017630,
UNLV Special Collections,pho017706,2,KEEP,pho017706.tif,ba92b579e8849f894a7b2384a13fd6f1,2026-08-31T22:22:04,pho017706,
UNLV Special Collections,pho017706,2,DELETE,pho017706.tif,e2505818da504128b4e57c381dbaa5c6,2025-01-29T17:47:13,pho017706,
UNLV Special Collections,pho017802,2,KEEP,pho017802.jpg,02f1293963b6cf9844e33339d8a919d4,2026-08-31T17:48:26,pho017802,
UNLV Special Collections,pho017802,2,DELETE,0038 0057.jpeg,73600a208d9f77dc00633997621f9e72,2026-07-16T15:57:25,pho017802,
UNLV Special Collections,pho019795,2,KEEP,pho019795.tif,5bc26a86ebfd201c4ecb0d7d4a33cc25,2026-09-01T08:19:16,"Photograph of Goldfield Engine House, Nevada, October 10, 1911",
UNLV Special Collections,pho019795,2,DELETE,pho019795.tif,ee82bb24eb5042168c424acf09992fd4,2025-01-28T17:42:41,pho019795,
UNLV Special Collections,pho019916,2,KEEP,pho019916.tif,93ee4ebd1c06d100c3d2f7b5348fa749,2026-08-27T01:56:41,pho019916,
UNLV Special Collections,pho019916,2,DELETE,pho019916.tif,c88801f1366d62c14eb83a37221988c1,2026-07-16T14:07:07,pho019916,
UNLV Special Collections,pho020567,2,KEEP,pho020567.tif,8927656865eb7a2a738aabea34871a9f,2026-09-01T08:54:33,pho020567,
UNLV Special Collections,pho020567,2,DELETE,pho020567.tif,05f9818f71ae833ed6a0e15eca4d564c,2026-09-01T08:19:25,pho020567 Postcard of Tonopah Belmont Development Company's mine and m,
UNLV Special Collections,pho021802,2,KEEP,pho021802.tif,40fd1228772f21418d8e99a01831fe7e,2026-08-28T02:42:17,pho021802,
UNLV Special Collections,pho021802,2,DELETE,pho021802.tif,66b7acc2090e4b46bdbb3a262b4b140b,2025-01-28T19:04:24,pho021802,
UNLV Special Collections,pho023019,2,KEEP,pho023019.tif,bd4db252f73e09659b8382e95fc2bf6a,2026-08-31T17:48:52,pho023019,
UNLV Special Collections,pho023019,2,DELETE,pho023019.tif,4b4f03f4a0211e1f1ac62ae79a0ad10b,2026-08-28T02:53:18,pho023019,
UNLV Special Collections,pho023809,2,KEEP,pho023809.tif,ace6d2e9227fe1e984f000fb5006a283,2026-08-31T17:48:07,pho023809,
UNLV Special Collections,pho023809,2,DELETE,pho023809.tif,8123522de30186cf00aed58db39527ee,2026-08-31T15:58:23,pho023809,
UNLV Special Collections,pho023833,2,KEEP,pho023833.tif,ba6ff582306b3b44a53f85fbf00e7b47,2026-08-31T17:48:39,pho023833,
UNLV Special Collections,pho023833,2,DELETE,pho023833.tif,80bb5e707e2da7ca2bcbbab55b80b4a5,2026-07-15T15:16:39,pho023833,
UNLV Special Collections,pho023834,2,KEEP,pho023834.tif,1f9c71741589f182be4bb36785846eaf,2026-08-31T17:48:48,pho023834,
UNLV Special Collections,pho023834,2,DELETE,pho023834.tif,203c5f0f2f8afd54837c9e65ee2c5d42,2026-08-28T02:53:17,pho023834,
UNLV Special Collections,pho023866,2,KEEP,pho023866.tif,033dc5b598bea95376d652df89ca39c1,2026-09-01T08:53:35,pho023866,
UNLV Special Collections,pho023866,2,DELETE,pho023866.tif,05f4ea6118ae0dd6ee285a18582e03a5,2026-09-01T08:19:35,"pho023866 Photograph of an aerial view of Pioche (Nev.), early 1900s",
UNLV Special Collections,pho023868,2,KEEP,pho023868.tif,717fdaaf5095b0f10523e6e979435a36,2026-09-01T08:52:32,pho023868,
UNLV Special Collections,pho023868,2,DELETE,pho023868.tif,64ded44bf03757537826e0861b8e4df4,2026-09-01T08:19:41,"pho023868 Photograph of an aerial view of Pioche (Nev.), early 1900s",
UNLV Special Collections,pho023869,2,KEEP,pho023869.tif,4e60986672dc704bb17c5cedda6d745e,2026-09-01T08:51:41,pho023869,
UNLV Special Collections,pho023869,2,DELETE,pho023869.tif,65c49904b4f422552a9efb82c56118e8,2026-09-01T08:19:43,"pho023869 Photograph of a baseball field, Pioche (Nev.), early 1900s",
UNLV Special Collections,pho023870,3,KEEP,pho023870.tif,0d1db3d170ced6681d6270a9eebb1733,2026-09-01T08:53:00,,
UNLV Special Collections,pho023870,3,DELETE,pho023870.tif,c342fdbd05fa14a10205e8e71b95a422,2026-08-31T22:22:10,pho023870,
UNLV Special Collections,pho023870,3,DELETE,pho023870.tif,53c4658e9e88486e9cc73403dd191c67,2026-09-01T08:19:37,"pho023870 Photograph of Henry Lee and others, Pioche (Nev.), 1890-1910",
UNLV Special Collections,pho023871,2,KEEP,pho023871.tif,d32b8aaf6d47724ec5237198ced92e2e,2026-09-01T08:19:46,"pho023871 Photograph of horsemen at the Newman House, Pioche (Nev.), e",
UNLV Special Collections,pho023871,2,DELETE,pho023871.tif,116113e452bbac3f377fb7244e4af500,2026-08-31T22:22:17,pho023871,
UNLV Special Collections,pho023872,2,KEEP,pho023872.tif,398df2f08965d2f4dfaeb2e9ed1601d7,2026-09-01T08:50:40,pho023872,
UNLV Special Collections,pho023872,2,DELETE,pho023872.tif,bb0271a0989cea95a5aff4bc2c60fc70,2026-09-01T08:19:51,"pho023872 Photograph of the Alamo Club, Pioche (Nev.), 1934",
UNLV Special Collections,pho023873,2,KEEP,pho023873.tif,a3b088e115c8d42f616a3a54b3efd273,2026-09-01T08:50:06,pho023873,
UNLV Special Collections,pho023873,2,DELETE,pho023873.tif,ae9922dddf7762bb105003fdd36fe732,2026-09-01T08:19:54,"pho023873 Photograph of the Price House, Pioche (Nev.), early 1900s",
UNLV Special Collections,pho023874,2,KEEP,pho023874.tif,4a559a5b038c6987f64601645417962b,2026-09-01T08:19:52,"Photograph of Henry Lee, Pioche (Nev.), early 1900s",
UNLV Special Collections,pho023874,2,DELETE,pho023874.tif,03b58b1eb4e90d696624d8707469aa7a,2026-08-31T22:22:30,pho023874,
UNLV Special Collections,pho023875,2,KEEP,pho023875.tif,d56bb70f25cf89150931465e1218afe1,2026-08-31T17:48:59,pho023875,
UNLV Special Collections,pho023875,2,DELETE,pho023875.tif,1b1120f3e67f642fc25d8bed3232fadd,2026-08-27T14:07:50,pho023875,
UNLV Special Collections,pho023877,2,KEEP,pho023877.tif,5ef5ebdf24acad6192e7057a67876e1e,2026-08-31T17:48:57,pho023877,
UNLV Special Collections,pho023877,2,DELETE,pho023877.tif,071137962da6d351d6fcceedd41cb74e,2026-08-27T13:08:04,pho023877,
UNLV Special Collections,pho023878,2,KEEP,pho023878.tif,d5d46cb8a78cd16a388087ccc0a59855,2026-09-01T08:48:41,pho023878,
UNLV Special Collections,pho023878,2,DELETE,pho023878.tif,ff8c409d1c15733d240988bf67f37da8,2026-09-01T08:20:00,"pho023878 Photograph of mines, Pioche (Nev.), early 1900s",
UNLV Special Collections,pho023879,2,KEEP,pho023879.tif,71e19a52c80ed53328aac5f5481d5188,2026-08-31T17:48:52,pho023879,
UNLV Special Collections,pho023879,2,DELETE,pho023879.tif,a74989a8449bc92ab3dc7ba5c76b3055,2026-08-27T13:00:17,pho023879,
UNLV Special Collections,pho023880,2,KEEP,pho023880.tif,e22cbcc45b571187af1b8902aaeadb8d,2026-09-01T08:49:26,pho023880,
UNLV Special Collections,pho023880,2,DELETE,pho023880.tif,16108c25363c194512482c378b166804,2026-09-01T08:19:55,"pho023880 Photograph of hillside mines, Pioche (Nev.), early 1900s",
UNLV Special Collections,pho023882,2,KEEP,pho023882.tif,19fe15ca56170a12dd88565bca400023,2026-08-31T17:48:53,pho023882,
UNLV Special Collections,pho023882,2,DELETE,pho023882.tif,7d51bf8db5de1603355208470d2f3108,2026-08-27T12:40:24,pho023882,
