archive,catalog_id,title_caption,source_url,topic,script_pages,downloaded,in_lightroom,metadata_attached,archive_filename,keywords
UNLV Special Collections,pho007141,"Photograph of McWilliamstown, circa 1904 -- in what would become Las Vegas [Stewart (Helen J.) Photographs]",https://special.library.unlv.edu/ark:/62930/d1s756k2c,1905 Land Auction / Founding,"P.4-5, P.51-54",Yes,Yes,Yes,,
Alamy,MC38R7,"Railroad workers - Northern Pacific pose outside railroad car housing, ca. 1910",https://www.alamy.com/workers-for-the-northern-pacific-pose-outside-of-their-railroad-car-housing-ca-1910-image179552331.html,,P.7-9,Yes,Yes,,,Workers; Railroad Workers; Railroads; Railroad Car
UNLV Special Collections,snv002500,"First train arrives from LA in Las Vegas, crowd of people",https://special.library.unlv.edu/ark%3A/62930/d1fn1165b,,P.7,Yes,Yes,,,"People; Crowds; Trains; Las Vegas, NV; Los Angeles, CA"
Utah Historical Society,39222001684088,"Interior ticket counter with people, SLC, 1906",https://collections.lib.utah.edu/ark:/87278/s6d79r8r,,P.7-11,,Yes,,,People; Ticket Counter; Building Interior
Utah Historical Society,39222001686224,"Women with parasols sticking out of train window, 1909",https://collections.lib.utah.edu/ark:/87278/s6hh6zvd,,P.7-11,,Yes,,,"Crowd at the Saltair Depot, June 29, 1909."
Utah Historical Society,17638,"Men and little boy posed by train, 1908",https://collections.lib.utah.edu/ark:/87278/s6v99qw4,,P.7-11,Yes,Yes,Yes,,Men; Trains
Utah Historical Society,39222001650899,"SP LA SL train and men, exterior station, SLC, 1910",https://collections.lib.utah.edu/ark:/87278/s6cv4s68,,P.7-11,,Yes,,,"At the Union Pacific Depot in Salt Lake City, August, 1910. Man on the right, Frank Dearman. Gift of: Robert W. Edwards."
Utah Historical Society,22256,"SLC, LA Limited train, 1905",https://collections.lib.utah.edu/ark:/87278/s6x63wd7,,P.7-11,Yes,Yes,Yes,,"Union Pacific Railroad 22256 Los Angeles Limited. Awaiting for arrival, Dec. 19, 1905. Shipler Photograph #2004"
Utah Historical Society,22257,"SLC, LA Limited train, 1905 (more steam)",https://collections.lib.utah.edu/ark:/87278/s6sf34nf,,P.7-11,Yes,Yes,Yes,,"Trains; Los Angeles, CA; Steam / Smoke"
Utah Historical Society,29430,"Man sleeping in train car, 1913",https://collections.lib.utah.edu/ark:/87278/s6f19723,,P.7-11,Yes,Yes,Yes,,
Utah Historical Society,39222001650972,"SP LA SL RR ticket office exterior, Utah",https://collections.lib.utah.edu/ark:/87278/s6bv7r2w,,P.7-11,,,,206SPLASLUtahTicketOffice10,
Utah Historical Society,39222001684096,"Interior ticket counter with people, SLC, 1908",https://collections.lib.utah.edu/ark:/87278/s68g90jd,,P.7-11,,Yes,,,People; Ticket Counter; Building Interior; Denver & Rio Grande; ticket counter
UNLV Special Collections,pho004752,"Squires family at his mine, Mt. Charleston, 1912",https://special.library.unlv.edu/ark%3A/62930/d1qr4nq4p,,P.9-17 (loose),Yes,Yes,Yes,,
UNLV Special Collections,pho006190,Delphine Squires with daughters (1900 to 1905),https://special.library.unlv.edu/ark:/62930/d1ns0kx6q,Squires / early businessmen,P.9-11,Yes,Yes,,,"Children; Charles “Pop” Squires; Delphine Squires; Los Angeles, CA; Squires; delphine square; family; children; farm"
USC Digital Library,CHS-2136,"La Grande Depot, Los Angeles",https://digitallibrary.usc.edu/CS.aspx?VP3=DamView&VBID=2A3BXZSBF6HLA&PN=1&DocRID=2A3BF1LXBZH,,P.9-11,Yes,Yes,Yes,,"Railroad Depot; Los Angeles, CA"
Utah Historical Society,16322,Rio Grande Western Railroad P.29,https://collections.lib.utah.edu/ark:/87278/s6jm3tfk,,P.9-11,Yes,Yes,Yes,,"Castle Gate, Utah"
