image_id,Archive,Caption,Description,Downloaded,In Lightroom,Metadata Attached
CL-00560,Nevada Historical Society,"Aftermath of fire; ruins of commercial buildings, Las Vegas, Clark County, Nevada, 1907.","Object type: Print, Photographic. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
ED-00039,Nevada Historical Society,"A major fire at the Elko Grammar School Christmas Day 1918 Elko County, Nevada.","Object type: Newspaper Clipping. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
EF-01708,Nevada Historical Society,"The fire of May 14, 1910, Fallon, Churchill County, Nevada.","Object type: Real Photo Postcard. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
EF-01925,Nevada Historical Society,"Damage from the Goldfield Fire of 1906, Goldfield, Esmeralda County, Nevada October 10, 1906.","Photo has two dates on it; October 10 and October 27, 1906 (?) Object type: Real Photo Postcard. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
ELKO-00920,Nevada Historical Society,"Fire at Elko School, Elko, Elko County, Nevada Dec. 25, 1918.","Object type: Print, Photographic. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
ESM-00999,Nevada Historical Society,"Photograph of fire, Florence-Goldfield Mill. Goldfield, Esmeralda County, Nevada. December 2, 1911.","Object type: Print, Photographic. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
ESM-01119,Nevada Historical Society,"Photograph of a fire scene. Goldfield, Esmeralda County, Nevada. c1906.","Object type: Print, Photographic. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
ESM-01312,Nevada Historical Society,"Photograph of fire at the Florence Mine, Goldfield, Esmeralda County, Nevada. December 2, 1911.","Object type: Print, Photographic. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
ESM-01565,Nevada Historical Society,"Photograph of the Fire Wagon of the Goldfield Volunteer Fire Department in front of the Goldfield Subdivision Branch of the State Bank. Goldfield, Esmeralda County, Nevada c1908.","Object type: Print, Photographic. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
NYE-01337,Nevada Historical Society,"Photograph of fire department horses 'Rox' and 'Don'; Tonopah, Nye County, Nevada. c1914.","Object type: Print, Photographic. Nevada Historical Society catalogue, supplied by Sarah Patton (Archivist) 2026-09-02; PastPerfect not public for this item.",true,,
