image_id,Keywords,Source URL
CL-00560,"Fire; Ruins from Fire; Building Exterior; Las Vegas, NV; Clark County, NV; Nevada Historical Society",https://nevadahistory.pastperfectonline.com/photo/BFD05492-AA45-4117-96C0-384383052041
ED-00039,Fire; Building Fire; Grammar School; Nevada Historical Society,
EF-01708,Fire; Building Fire; Nevada Historical Society,
EF-01925,"Fire; Ruins from Fire; Goldfield, NV; Nevada Historical Society",
ELKO-00920,Fire; Building Fire; Grammar School; Nevada Historical Society,
ESM-00999,"Fire; Mill; Mines; Goldfield, NV; Steam / Smoke; Nevada Historical Society",https://nevadahistory.pastperfectonline.com/photo/B5502C18-9440-4D08-8828-331058393749
ESM-01119,"Fire; Goldfield, NV; Steam / Smoke; Nevada Historical Society",https://nevadahistory.pastperfectonline.com/photo/DA7218F6-B342-4E5F-A87D-195767821272
ESM-01312,"Fire; Mines; Mine Buildings; Goldfield, NV; Nevada Historical Society",https://nevadahistory.pastperfectonline.com/photo/FDF02CF0-8350-47E0-B78E-193389472056
ESM-01565,"Fire Department; Fire Wagon; Banks; Horses; Goldfield, NV; Nevada Historical Society",
NYE-01337,"Fire Department; Horses; Tonopah, NV; Nevada Historical Society",https://nevadahistory.pastperfectonline.com/photo/B41DD6A6-36DB-47AF-BE08-333656808482
NYE-01342,"Firemen; Fire Department; Posed Group Portrait; Tonopah, NV; Nevada Historical Society",https://nevadahistory.pastperfectonline.com/photo/98B6E1B6-2DF3-4787-A589-391779253536
NYE-02123,"Fire Department; Street Scene; Crowds; Tonopah, NV; Nevada Historical Society",https://nevadahistory.pastperfectonline.com/photo/51CE4494-6574-4737-AA99-810420749052
ST-00406,Fire; Building Fire; Crowds; Postcard; Nevada Historical Society,https://nevadahistory.pastperfectonline.com/photo/8C3E07F5-EDD6-405B-81D3-524034901456
ST-02595,Fire; Mines; Headframes; Nevada Historical Society,https://nevadahistory.pastperfectonline.com/photo/F7FD07BD-5CCA-47F1-B19E-153435311958
WA-12367,"Fire; Building Fire; Street Scene; Reno, NV; Postcard; Nevada Historical Society",
BIO-O-00038,Governor; Men; Nevada Historical Society,
BIO-O-00056,Governor; Men; Crowds; Posed Group Portrait; Nevada Historical Society,
CA-00138,"Outhouses / Privies; Building Exterior; Bodie, CA; Nevada Historical Society",
EF-01397,"Courthouse; Building Exterior; Pioche, NV; Lincoln County, NV; Postcard; Nevada Historical Society",
LN-00156,"Panorama; Courthouse; Pioche, NV; Lincoln County, NV; Nevada Historical Society",
NYE-00715,Ranch; Farmhouse; Governor; Nevada Historical Society,
NYE-01593,"Men; Building Exterior; Tonopah, NV; Governor; Nevada Historical Society",
NYE-01718,Mines; Headframes; Men; Posed Group Portrait; Governor; Nevada Historical Society,
NYE-01746,Mines; Men; Women; Governor; Nevada Historical Society,
smith0128,"Children; Building Interior; Tonopah, NV; Nevada Historical Society",
