image_id,Keywords
438930,Railroads; Denver & Rio Grande Railroad; Railroad Car Interior; Railroad Car; Trains; Men; Travelers
439106,"Railroads; Railroad Shops; Railroad Construction; Construction Workers; Pocatello, ID; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Building Exterior"
439954,"Railroads; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Trains; Steam Locomotive; Railroad Car Exterior; Railroad Yard; Salt Lake City, UT"
439956,"Railroads; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Dining Car; Railroad Car Interior; Railroad Car; Trains; Railroad Workers"
439957,"Railroads; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Dining Car; Railroad Car Interior; Railroad Car; Trains; Building Interior"
439960,"Railroads; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Ticket Office; Ticket Counter; Building Interior; Train Station; Railroad Depot"
440273,"Railroads; Union Pacific Railroad; Los Angeles Limited (train); Trains; Steam Locomotive; Travelers; Crowd at Train Station; Salt Lake City, UT"
440274,"Railroads; Union Pacific Railroad; Los Angeles Limited (train); Trains; Steam Locomotive; Steam / Smoke; Los Angeles, CA; Salt Lake City, UT"
443582,"Railroads; Denver & Rio Grande Railroad; Railroad Depot; Train Station; Trains; Travelers; Crowds; Salt Lake City, UT"
443583,"Railroads; Denver & Rio Grande Railroad; Railroad Depot; Train Station; Trains; Travelers; Crowd at Train Station; Salt Lake City, UT"
443585,"Railroads; Denver & Rio Grande Railroad; Western Pacific Railroad; Railroad Depot; Train Station; Railroad Officials; Crowds; Salt Lake City, UT"
451412,"Stagecoach; Railroads; Horses; Horse-Drawn Wagon; Crowds; Ely, NV; Trains"
454760,Freight Hauling; Freight Wagons; Horse-Drawn Wagon; Horses; Men; Railroads; Railroad Tracks; Workers
454981,Railroads; Trains; Steam Locomotive; Railroad Tracks; Men; Copper Mining; Mines; Mine Buildings
455389,Railroads; Bamberger Railroad; Railroad Construction; Cable Gang; Construction Workers; Men; Utility Poles; Workers
455431,Railroads; Bamberger Railroad; Railroad Construction; Railroad Tracks; Construction Workers; Men; Horses; Landscape
455806,"Railroads; Denver & Rio Grande Railroad; Railroad Tracks; Trains; Railroad Car; Travelers; Men; Castle Gate, UT; Mountains"
BIO-O-00038,Solo Portrait; Senator; Governor; Men; People; Nevada Historical Society; Black & White Photograph
CA-00138,"Outhouses / Privies; Sheds & Outbuildings; Houses; Building Exterior; Bodie, CA; Mining Town; Nevada Historical Society"
EF-01708,"Fire; Building Fire; Ruins from Fire; Fallon, NV; Churchill County, NV; Building Exterior; Nevada Historical Society; Postcard"
EF-01925,"Fire; Ruins from Fire; Building Fire; Goldfield, NV; Esmeralda County, NV; Mining Town; Nevada Historical Society; Postcard"
ESM-01119,"Fire; Building Fire; Steam / Smoke; Goldfield, NV; Esmeralda County, NV; Mining Town; Crowds; Nevada Historical Society"
NYE-00715,"Ranch; Farmhouse; Houses; Senator; Governor; Men; Nye County, NV; Nevada Historical Society"
NYE-01337,"Fire Department; Horses; Fire Wagon; Tonopah, NV; Nye County, NV; Mining Town; Nevada Historical Society"
pho005494,"Cattle; Livestock; Ranch; Nye County, NV; Landscape; Desert; UNLV Special Collections; Black & White Photograph"
