current_file,current_catalog_id,correct_digital_id,new_file,status,ark,title_caption
16322.tif,16322,455806,455806.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6jm3tfk,Rio Grande Western Railroad P.29
17638.tif,17638,454981,454981.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6v99qw4,"Men and little boy posed by train, 1908"
18498.tif,18498,454760,454760.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6bv8z0v,Wagons -- Freighting P.32
21339.tif,21339,439106,439106.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6pk0qgj,"RR shops construction, 1905, foundation/workers/tracks, Idaho"
22256.tif,22256,440273,440273.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6x63wd7,"SLC, LA Limited train, 1905"
22257.tif,22257,440274,440274.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6sf34nf,"SLC, LA Limited train, 1905 (more steam)"
22582.tif,22582,439954,439954.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s64b38sz,"TRAIN - Crowds of people, some dressed up, 5/1/1905"
22583.tif,22583,439955,439955.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s60k2j16,"Crowds of people, some dressed up, 5/1/1905"
22584.tif,22584,439956,439956.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6vx0qzt,Empty dining car
22585.tif,22585,439957,439957.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6r50076,"RR dining car interior, people dressed up, 1905-6 (Peter Buol as cook)"
22586.tif,22586,439958,439958.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6mc97gg,SP LA SL Railroad cooks pose outside rail car
22587.tif,22587,443053,443053.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6hh6zvd,Saltair Depot P.3
23302.tif,23302,443527,443527.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s68g90jd,"Denver & Rio Grande Western Railroad Station, SLC P.54"
23501.tif,23501,443526,443526.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6d79r8r,"Denver & Rio Grande Western Railroad Station, SLC P.53"
25049.tif,25049,439960,439960.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6bv7r2w,"San Pedro, Los Angeles & Salt Lake RR P.11"
27082.tif,27082,451412,451412.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6sb4gh4,"Ely, Nevada P.18"
2714858.tif,2714858,2714858,2714858.tif,already correct,https://collections.lib.utah.edu/ark:/87278/s6rby25h,Double coal house for company dwellings
2714859.tif,2714859,2714859,2714859.tif,already correct,https://collections.lib.utah.edu/ark:/87278/s6zc6tmp,"Corrugated pipe siphon, 1910"
27871.tif,27871,455431,455431.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6bg44vt,"Bamberger Line property, April 21, 1907 (Bamberger Railroad P.15)"
29430.tif,29430,438930,438930.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6f19723,"Man sleeping in train car, 1913"
29902.tif,29902,443582,443582.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s65d95pn,"Crowd of men and women with baggage waiting for train, 1910"
29903.tif,29903,443583,443583.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s61n8f0s,"Crowd of men and women with baggage, facing away from train, 1910"
29904.tif,29904,443584,443584.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6x06mxq,"Train station, crowd of men in hats, 1910, SLC"
29905.tif,29905,443585,443585.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6s75w7v,"Train station waiting room, group of men outside, 1910, SLC"
455340.tif,523,455340,455340.tif,fixed by you,https://collections.lib.utah.edu/ark:/87278/s68d1c1h,"Workmen on tracks, 1900"
455533.tif,573,455533,455533.tif,fixed by you,https://collections.lib.utah.edu/ark:/87278/s6pk1zvr,"Denver and Rio Grande Western RR, east-bound train #6 crossing Soldier Summit, 1910 (D&RGW R.R. P.7)"
511.tif,511,455389,455389.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6418cwb,"Bamberger Railroad -- Cable Gang, Lagoon, Summer 1909 (Bamberger Railroad P.1)"
750.tif,750,439952,439952.tif,needs rename,https://collections.lib.utah.edu/ark:/87278/s6cv4s68,"San Pedro, Los Angeles & Salt Lake RR P.2"
