image_id,Keywords
438930,Railroads; Denver & Rio Grande Railroad; Railroad Car Interior; Men
439952,"Railroads; Union Pacific Railroad; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Train Station; Railroad Depot; Steam Locomotive; Salt Lake City, UT"
439954,"Railroads; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Trains; Steam Locomotive"
439955,"Railroads; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Trains; Steam Locomotive; Railroad Workers"
439958,"Railroads; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Dining Car; Railroad Car Interior; Railroad Workers"
439960,"Railroads; San Pedro, Los Angeles & Salt Lake Railroad (SP, LA & SL); Ticket Office"
443053,Railroads; Railroad Depot; Train Station; Crowd at Train Station; Travelers
443526,"Railroads; Denver & Rio Grande Railroad; Ticket Office; Ticket Counter; Train Station; Building Interior; Salt Lake City, UT"
443527,"Railroads; Denver & Rio Grande Railroad; Ticket Office; Train Station; Salt Lake City, UT"
451412,"Stagecoach; Railroads; Ely, NV"
