archive,catalog_id,title_caption,in_lightroom,metadata_attached,reason,evidence
Alamy,MC38R7,"Railroad workers - Northern Pacific pose outside railroad car housing, ca. 1910",Yes,,no TIF found on this Mac,
USC Digital Library,CHS-2136,"La Grande Depot, Los Angeles",Yes,Yes,no TIF found on this Mac,
Huntington Library,photCL 486 (030),"Union League building, Los Angeles (1957 - low priority)",Yes,Yes,no TIF found on this Mac,
New York Public Library,723882F,"Wall St. Panic, 1907",Yes,,no TIF found on this Mac,
Alamy,RYM9T9,"SP LA SL Railroad Depot, Riverside, California, 1905",Yes,Yes,no TIF found on this Mac,
Huntington Library,photCL 470 (007),"LA Street scenes, 1905 (Squires before LV)",Yes,Yes,no TIF found on this Mac,
Huntington Library,photCL Pierce 00059,"LA Street scenes, 1905",Yes,Yes,no TIF found on this Mac,
Huntington Library,photCL Pierce 00062,"LA Street scenes, 1905",Yes,Yes,no TIF found on this Mac,
Huntington Library,photCL 470 (002),"LA Street scenes, 1905 (gallery upload)",Yes,Yes,no TIF found on this Mac,
USC Digital Library,CHS-5711/CHS-5712,1914 Union League club in downtown panorama,Yes,,no TIF found on this Mac,
USC Digital Library,CHS-5711,1914 Union League club in downtown panorama - different angle,Yes,Yes,no TIF found on this Mac,
Reno Historical Society,,"Reno Mill & Lumber Company headquarters near the railroad tracks, Reno, Nevada (undated, pre-1913) -- pile of lumber and RR tracks in foreground",,Yes,row has no catalog ID,
Utah Historical Society,39222001456750,"Stagecoach with men, Ely NV, 1906",Yes,Yes,no TIF found on this Mac,
UNLV Special Collections,Pho024864,"Beckley family, various",Yes,,duplicate row; twin row holds the file,pho024864003
Alamy,GDFDXG,"Outhouses, Bodie ghost town",Yes,,no TIF found on this Mac,
Alamy,DEAWCA,"Outhouses, Sacramento CA - company housing",Yes,,no TIF found on this Mac,
Alamy,DHCE5Y,"Privy/outdoor toilet, company housing project",Yes,,no TIF found on this Mac,
Alamy,2C74JDE,"Cesspool - aerial view (Germany, for reference)",Yes,,no TIF found on this Mac,
Alamy,2NHY7BE,Sewer hole in dirt with ladder (cesspool/sewer construction),Yes,,no TIF found on this Mac,
Alamy,2M18K9B,"Drainage ditches - Southborough, Mass., 1899",Yes,Yes,no TIF found on this Mac,
New York Public Library,1583597,"Outhouses, 1902",Yes,,no TIF found on this Mac,
New York Public Library,1576447,"Outhouses, 1902",Yes,,no TIF found on this Mac,
Alamy,M7WDBN,Horse wagons full of garbage - Dump story,Yes,,no TIF found on this Mac,
Alamy,2RGMMJ1,"Interior grocery store (DGS Store, Wash DC, ca. 1910s)",Yes,,no TIF found on this Mac,
Nevada Historical Society,CC-00324,"Fire Department, Carson City, 1890s",Yes,Yes,no TIF found on this Mac,
Nevada Historical Society,CC-00323,"Fire Department, Carson City, 1890s",Yes,Yes,no TIF found on this Mac,
Nevada Historical Society,CC-00802,"Fire Department, Carson City, 1890s",Yes,Yes,no TIF found on this Mac,
State Historical Society of Missouri,S1083_1090,"St. Charles Fire Department Hose Company Number One Wagon, St. Charles, Missouri, 1909 [John J. Buse Collection, S1083] -- period fire-equipment reference, not Nevada",Yes,Yes,no TIF found on this Mac,
State Historical Society of Missouri,P0034-3138,"Hose #4, St. Louis Fire Department fire engine (Photographer: Vic Stevenson) [Charles Trefts Photographs, Collection P0034] -- period fire-equipment reference, not Nevada",Yes,Yes,no TIF found on this Mac,
USC Digital Library,CHS-5553,Curfew bell (1907 laws),Yes,Yes,no TIF found on this Mac,
Nevada Historical Society,CH-00740,On the way somewhere with a horse and buggy,Yes,Yes,no TIF found on this Mac,
Nevada Historical Society,ESM-01420,On the way somewhere with a horse and buggy,,Yes,no TIF found on this Mac,
Nevada Historical Society,CH-00090,"Family with buggy and house, en route to Pioche",Yes,Yes,no TIF found on this Mac,
Chicago History Museum,DN-0008569,"Five men with two carts holding bags at the entrance to the Union Trust Bank vault, Tribune Building (Madison & Dearborn), Chicago, 1910",Yes,Yes,no TIF found on this Mac,
Western Nevada Historic Photo Collection,tey0054,"1911 Nevada Legislature -- labeled group photo naming Clay Tallman (Senate President Pro Tem 1909-1913), A.C. Frolich (Assembly Speaker 1911-1913), James G. Sweeney (Chief Justice), and senators from Washoe/Esmeralda/Nye/Ormsby/Lyon/Douglas counties. This is the legislature that passed the Las Vegas incorporation bill, March 1911. Source: Carson City: The Early Years (WNHPC).",,Yes,no TIF found on this Mac,
Library of Congress,pcrd.1d03667,"State capitol - Carson City. Library of Congress Prints and Photographs Division, postcard collection. Digital ID: pcrd 1d03667",Yes,,"file on disk, ID not matchable",August 27/Nevada State Capitol - Carson City (LOC)/master-pnp-pcrd-1d00000-1d03000-1d03600-1d03667u.tif
Western Nevada Historic Photo Collection,tey0087,"Carson Depot (V&T Railroad) -- the Carson City depot of the Virginia & Truckee Railroad, original size before a later expansion. Source: Carson City: The Early Years (WNHPC).",,Yes,no TIF found on this Mac,
Western Nevada Historic Photo Collection,tey0082,"Suffrage -- Governor Emmett D. Boyle signs the resolution for ratification of the 19th Amendment, February 7, 1920. Also present: Mrs. Sadie D. Hurst (first female member of the Nevada Legislature) and Speaker of the Assembly D.J. Fitzgerald. Source: Carson City: The Early Years (WNHPC).",,Yes,no TIF found on this Mac,
Alamy,2EJ3T8R,"Water supply system diagram/drawing, 1900s",Yes,Yes,no TIF found on this Mac,
Alamy,2M2JKTF,"Culvert - Malden, Mass., 1904",Yes,Yes,no TIF found on this Mac,
Alamy,2M2JKRR,"Culvert / drainage area - Melrose, Mass., 1904",Yes,Yes,no TIF found on this Mac,
UNLV Special Collections,pho017802,Cahlan family (1910),Yes,Yes,no TIF found on this Mac,
USC Digital Library,CHS-1130,"Picking strawberries in California, 1910 (Florence Boyer)",Yes,Yes,no TIF found on this Mac,
Northwest Museum (Ferris Archives),L87-1.2383-10,"Spokane, 1910, grocery store",Yes,Yes,no TIF found on this Mac,
Northwest Museum (Ferris Archives),L87-1.2384-10,"Spokane, 1910, fancy couple in a restaurant",Yes,Yes,no TIF found on this Mac,
Town of Tonopah,TNV006,"Nye County Courthouse, Tonopah, NV, 1910",Yes,Yes,no TIF found on this Mac,
Wikimedia Commons,177247046,"Denver S. Dickerson, Governor of Nevada, portrait, c. 1908-1910",,Yes,no TIF found on this Mac,
Library of Congress (Chronicling America),sn86076141_1910-01-01,"Las Vegas Age newspaper, front page, January 1, 1910",Yes,Yes,no TIF found on this Mac,
UNLV Special Collections,hln000440,"Photograph of swimmers at Lorenzi Park pool, circa 1931 [Elton and Madelaine Garrett Photograph and Architectural Drawing Collection (PH-00265)]",Yes,,no TIF found on this Mac,
California Historical Society / USC Digital Library,CHS-20325,"View of the Chollar mine dump in Gold Hill, Nevada, ca. 1900 (re-downloaded at higher resolution, 1200x964)",Yes,Yes,no TIF found on this Mac,
Town of Tonopah,TNV001,"Drilling competition, Tonopah Railroad Carnival, 1904",Yes,Yes,no TIF found on this Mac,
Town of Tonopah,TNV003,"Railroad Days celebration, Tonopah, 1904",Yes,Yes,no TIF found on this Mac,
USC Digital Library,CHS-33079,"Train crossing over the Santa Ana River in Riverside, circa 1904 (Creator: C.C. Pierce) [California Historical Society Collection, 1860-1960]",Yes,Yes,no TIF found on this Mac,
California Historical Society / USC Digital Library,CHS-258,"Los Angeles Times Building, First St. and Broadway, ca. 1905 (low-res only)",Yes,Yes,no TIF found on this Mac,
Town of Tonopah,TNV005,"Nevada-California Power Company facility, 1906",Yes,Yes,no TIF found on this Mac,
Town of Tonopah,TNV002,"Double-jack drilling contest, Tonopah, July 4, 1903",Yes,Yes,no TIF found on this Mac,
Town of Tonopah,TNV004,"Boxing match, Tonopah Athletic Club, 1900s",Yes,Yes,no TIF found on this Mac,
Wikimedia Commons,82003220,"Brann Boardinghouse, Tonopah, NV, built 1906",,Yes,no TIF found on this Mac,
Wikimedia Commons,83001121,"Nortonia Boarding House, Reno, NV",,Yes,no TIF found on this Mac,
Wikimedia Commons,17527202,"Southern Nevada Consolidated Telephone-Telegraph Co. Building, Goldfield, NV, 1906",,Yes,no TIF found on this Mac,
New York Public Library,800387,"NYC street scene, 1910",Yes,,no TIF found on this Mac,
Northwest Museum (Ferris Archives),L87-1.5321X-10,"Spokane, 1910, city view",Yes,Yes,no TIF found on this Mac,
Northwest Museum (Ferris Archives),L87-1.5637X-10,"Spokane, 1910, city view with big bank",Yes,,no TIF found on this Mac,
San Francisco Public Library,DPW-46,"Vicente Street sewer near 30th Ave. ('Brick invert'), San Francisco, July 9, 1910 [San Francisco Department of Public Works Bureau of Engineering Photograph Records, SFP 26]",Yes,Yes,duplicate row; twin row holds the file,dpw46
San Francisco Public Library,AAB-6092,"East on Market from 4th Street, San Francisco, 1910-1912 (Photographer: H.C. Tibbitts) [San Francisco Subjects Photograph Collection, SFP 162]",,Yes,no TIF found on this Mac,
USC Digital Library,CHS-1876,"Broadway north from Fourth Street, downtown Los Angeles, 1903-1905 [California Historical Society Collection, 1860-1960]",Yes,Yes,no TIF found on this Mac,
USC Digital Library,CHS-5247,"Main Street, looking north-east, Riverside, California, circa 1905 (Creator: C.C. Pierce) [California Historical Society Collection, 1860-1960]",Yes,Yes,no TIF found on this Mac,
Wikimedia Commons,8473926,"Street scenery, Goldfield, NV",,Yes,no TIF found on this Mac,
