when,filename,moved_to,original_path
2026-09-03T17:26:59,hln000440.jpg,_Uploaded to Lightroom/hln000440.jpg,August 12/Lorenzi Park (Garrett Collection)/hln000440.jpg
2026-09-03T17:26:59,TNV001.jpg,_Uploaded to Lightroom/TNV001.jpg,August 26/Celebratory Images/TNV001.jpg
2026-09-03T17:26:59,TNV002.jpg,_Uploaded to Lightroom/TNV002.jpg,August 26/Celebratory Images/TNV002.jpg
2026-09-03T17:26:59,TNV003.jpg,_Uploaded to Lightroom/TNV003.jpg,August 26/Celebratory Images/TNV003.jpg
2026-09-03T17:26:59,TNV004.jpg,_Uploaded to Lightroom/TNV004.jpg,August 26/Celebratory Images/TNV004.jpg
2026-09-03T17:26:59,sn86076141_1910-01-01.jpg,_Uploaded to Lightroom/sn86076141_1910-01-01.jpg,August 26/Corkhill and Newspapers/sn86076141_1910-01-01.jpg
2026-09-03T17:26:59,2012646311.tif,_Uploaded to Lightroom/2012646311.tif,August 26/Garbage Collector and Dancing/2012646311.tif
2026-09-03T17:26:59,pho004103.tif,_Uploaded to Lightroom/pho004103.tif,August 26/Garbage Collector and Dancing/pho004103.tif
2026-09-03T17:26:59,177247046.jpg,_Uploaded to Lightroom/177247046.jpg,August 26/Governor Dickerson/177247046.jpg
2026-09-03T17:26:59,2014696545.tif,_Uploaded to Lightroom/2014696545.tif,August 26/Governor Oddie/2014696545.tif
2026-09-03T17:26:59,2014696546.tif,_Uploaded to Lightroom/2014696546.tif,August 26/Governor Oddie/2014696546.tif
2026-09-03T17:26:59,2016860954.tif,_Uploaded to Lightroom/2016860954.tif,August 26/Governor Oddie/2016860954.tif
2026-09-03T17:26:59,2016864143.tif,_Uploaded to Lightroom/2016864143.tif,August 26/Governor Oddie/2016864143.tif
2026-09-03T17:26:59,2007662543.tif,_Uploaded to Lightroom/2007662543.tif,August 26/Los Angeles 1905/2007662543.tif
2026-09-03T17:26:59,pho018500.tif,_Uploaded to Lightroom/pho018500.tif,August 26/Manual Additions/pho018500.tif
2026-09-03T17:26:59,2003665483.tif,_Uploaded to Lightroom/2003665483.tif,August 26/Newspaper Readers/2003665483.tif
2026-09-03T17:26:59,chs-m958.jpg,_Uploaded to Lightroom/chs-m958.jpg,August 26/Newspaper Readers/chs-m958.jpg
2026-09-03T17:26:59,pho019905.tif,_Uploaded to Lightroom/pho019905.tif,August 26/PH-00033 Nevada Historical Society Collection/pho019905.tif
2026-09-03T17:26:59,pho019906.tif,_Uploaded to Lightroom/pho019906.tif,August 26/PH-00033 Nevada Historical Society Collection/pho019906.tif
2026-09-03T17:26:59,pho019911.tif,_Uploaded to Lightroom/pho019911.tif,August 26/PH-00033 Nevada Historical Society Collection/pho019911.tif
2026-09-03T17:26:59,pho019912.tif,_Uploaded to Lightroom/pho019912.tif,August 26/PH-00033 Nevada Historical Society Collection/pho019912.tif
2026-09-03T17:26:59,pho019916.tif,_Uploaded to Lightroom/pho019916.tif,August 26/PH-00033 Nevada Historical Society Collection/pho019916.tif
