category,keyword
People & Crowds,People
People & Crowds,Crowds
People & Crowds,Women
People & Crowds,Men
People & Crowds,Children
People & Crowds,Families
People & Crowds,Couples
People & Crowds,Suffragettes
People & Crowds,Workers
People & Crowds,Railroad Workers
People & Crowds,Construction Workers
People & Crowds,Cooks
People & Crowds,Firemen
People & Crowds,Posed Group Portrait
People & Crowds,Candid / Not Posed
People & Crowds,Solo Portrait
People & Crowds,Railroad Officials
People & Crowds,Ranchers
Horses & Animals,Horses
Horses & Animals,Mules
Horses & Animals,Dogs
Horses & Animals,Horse & Buggy
Horses & Animals,Horse-Drawn Wagon
Horses & Animals,Horse Wagons (Garbage/Freight)
Horses & Animals,Freight Hauling
Horses & Animals,Cattle
Horses & Animals,Livestock
Trains & Railroads — General,Trains
Trains & Railroads — General,Railroads
Trains & Railroads — General,Railroad Depot
Trains & Railroads — General,Train Station
Trains & Railroads — General,Railroad Tracks
Trains & Railroads — General,Steam Locomotive
Trains & Railroads — General,Railroad Car
Trains & Railroads — General,Railroad Car Interior
Trains & Railroads — General,Railroad Car Exterior
Trains & Railroads — General,Railroad Yard
Trains & Railroads — Stations & Travel,Ticket Office
Trains & Railroads — Stations & Travel,Ticket Counter
Trains & Railroads — Stations & Travel,Waiting Room
Trains & Railroads — Stations & Travel,Baggage
Trains & Railroads — Stations & Travel,Travelers
Trains & Railroads — Stations & Travel,Crowd at Train Station
Trains & Railroads — Stations & Travel,Dining Car
Trains & Railroads — Stations & Travel,Stagecoach
Trains & Railroads — Stations & Travel,Freight Wagons
Trains & Railroads — Construction & Infrastructure,Railroad Construction
Trains & Railroads — Construction & Infrastructure,Railroad Shops
Trains & Railroads — Construction & Infrastructure,Cable Gang
Trains & Railroads — Construction & Infrastructure,Railroad Bridge
Trains & Railroads — Construction & Infrastructure,Railroad Maps & Plans
Trains & Railroads — Construction & Infrastructure,Railroad Office
Trains & Railroads — Construction & Infrastructure,Coal House
Trains & Railroads — Construction & Infrastructure,Steel Oil Tank
Trains & Railroads — Construction & Infrastructure,Water Tank / Reservoir
Trains & Railroads — Construction & Infrastructure,Grading for Rail Line
Sanitation & Utilities,Sewers
Sanitation & Utilities,Sewer Construction
Sanitation & Utilities,Sewer Pipe
Sanitation & Utilities,Men Laying Sewer Pipe
Sanitation & Utilities,Cesspools
Sanitation & Utilities,Outhouses / Privies
Sanitation & Utilities,Culverts
Sanitation & Utilities,Drainage Ditches
Sanitation & Utilities,Water Supply
Sanitation & Utilities,Water Supply Diagram
Sanitation & Utilities,Corrugated Pipe Siphon
Sanitation & Utilities,Concrete Reservoir
Sanitation & Utilities,Utility Poles
Sanitation & Utilities,Telephone & Telegraph
Commerce & Buildings,Banks
Commerce & Buildings,Bank Interior
Commerce & Buildings,Grocery Store
Commerce & Buildings,Grocery Store Interior
Commerce & Buildings,Insurance Company Building
Commerce & Buildings,Restaurant
Commerce & Buildings,Restaurant Kitchen
Commerce & Buildings,Dance Hall
Commerce & Buildings,Union League Club
Commerce & Buildings,Saloons
Commerce & Buildings,Hotels
Commerce & Buildings,Houses
Commerce & Buildings,Sheds & Outbuildings
Commerce & Buildings,Hotel Exterior
Commerce & Buildings,Boarding House
Commerce & Buildings,Porch
Government & Politics,State Capitol Building
Government & Politics,State Senate / Legislature
Government & Politics,Governor
